route_number,day_type,Atlantis Station,Wesfleur Park,Fernande,Valleyfield,Hoogergeest,Goede Hoop,Saxonsea Clinic,Hermes,Hermeslaan Primary,Lisboa
245,Saturdays,15:30,15:32,15:33,15:34,15:35,15:35,15:36,15:37,15:38,15:39
245,Saturdays,16:00,16:02,16:03,16:04,16:05,16:05,16:06,16:07,16:08,16:09
245,Saturdays,16:30,16:32,16:33,16:34,16:35,16:35,16:36,16:37,16:38,16:39
245,Saturdays,17:00,17:02,17:03,17:04,17:05,17:05,17:06,17:07,17:08,17:09
245,Saturdays,17:30,17:32,17:33,17:34,17:35,17:35,17:36,17:37,17:38,17:39
245,Saturdays,18:00,18:02,18:03,18:04,18:05,18:05,18:06,18:07,18:08,18:09
245,Saturdays,18:30,18:32,18:33,18:34,18:35,18:35,18:36,18:37,18:38,18:39
245,Saturdays,19:00,19:02,19:03,19:04,19:05,19:05,19:06,19:07,19:08,19:09
245,Saturdays,19:30,19:32,19:33,19:34,19:35,19:35,19:36,19:37,19:38,19:39
245,Saturdays,20:00,20:02,20:03,20:04,20:05,20:05,20:06,20:07,20:08,20:09
245,Saturdays,20:30,20:32,20:33,20:34,20:35,20:35,20:36,20:37,20:38,20:39
245,Saturdays,21:00,21:02,21:03,21:04,21:05,21:05,21:06,21:07,21:08,21:09
245,Sundays and Public Holidays,05:00,05:02,05:03,05:04,05:05,05:05,05:06,05:07,05:08,05:09
245,Sundays and Public Holidays,05:20,05:22,05:23,05:24,05:25,05:25,05:26,05:27,05:28,05:29
245,Sundays and Public Holidays,05:40,05:42,05:43,05:44,05:45,05:45,05:46,05:47,05:48,05:49
245,Sundays and Public Holidays,06:00,06:02,06:03,06:04,06:05,06:05,06:06,06:07,06:08,06:09
245,Sundays and Public Holidays,06:20,06:22,06:23,06:24,06:25,06:25,06:26,06:27,06:28,06:29
245,Sundays and Public Holidays,06:40,06:42,06:43,06:44,06:45,06:45,06:46,06:47,06:48,06:49
245,Sundays and Public Holidays,07:00,07:02,07:03,07:04,07:05,07:05,07:06,07:07,07:08,07:09
245,Sundays and Public Holidays,07:20,07:22,07:23,07:24,07:25,07:25,07:26,07:27,07:28,07:29
245,Sundays and Public Holidays,07:40,07:42,07:43,07:44,07:45,07:45,07:46,07:47,07:48,07:49
245,Sundays and Public Holidays,08:00,08:02,08:03,08:04,08:05,08:05,08:06,08:07,08:08,08:09
245,Sundays and Public Holidays,08:20,08:22,08:23,08:24,08:25,08:25,08:26,08:27,08:28,08:29
245,Sundays and Public Holidays,08:40,08:42,08:43,08:44,08:45,08:45,08:46,08:47,08:48,08:49
245,Sundays and Public Holidays,09:00,09:02,09:03,09:04,09:05,09:05,09:06,09:07,09:08,09:09
245,Sundays and Public Holidays,09:30,09:32,09:33,09:34,09:35,09:35,09:36,09:37,09:38,09:39
245,Sundays and Public Holidays,10:00,10:02,10:03,10:04,10:05,10:05,10:06,10:07,10:08,10:09
245,Sundays and Public Holidays,10:30,10:32,10:33,10:34,10:35,10:35,10:36,10:37,10:38,10:39
245,Sundays and Public Holidays,11:00,11:02,11:03,11:04,11:05,11:05,11:06,11:07,11:08,11:09
245,Sundays and Public Holidays,11:30,11:32,11:33,11:34,11:35,11:35,11:36,11:37,11:38,11:39
245,Sundays and Public Holidays,12:00,12:02,12:03,12:04,12:05,12:05,12:06,12:07,12:08,12:09
245,Sundays and Public Holidays,12:30,12:32,12:33,12:34,12:35,12:35,12:36,12:37,12:38,12:39
245,Sundays and Public Holidays,13:00,13:02,13:03,13:04,13:05,13:05,13:06,13:07,13:08,13:09
245,Sundays and Public Holidays,13:30,13:32,13:33,13:34,13:35,13:35,13:36,13:37,13:38,13:39
245,Sundays and Public Holidays,14:00,14:02,14:03,14:04,14:05,14:05,14:06,14:07,14:08,14:09
245,Sundays and Public Holidays,14:30,14:32,14:33,14:34,14:35,14:35,14:36,14:37,14:38,14:39
245,Sundays and Public Holidays,15:00,15:02,15:03,15:04,15:05,15:05,15:06,15:07,15:08,15:09
245,Sundays and Public Holidays,15:30,15:32,15:33,15:34,15:35,15:35,15:36,15:37,15:38,15:39
245,Sundays and Public Holidays,16:00,16:02,16:03,16:04,16:05,16:05,16:06,16:07,16:08,16:09
245,Sundays and Public Holidays,16:30,16:32,16:33,16:34,16:35,16:35,16:36,16:37,16:38,16:39
245,Sundays and Public Holidays,17:00,17:02,17:03,17:04,17:05,17:05,17:06,17:07,17:08,17:09
245,Sundays and Public Holidays,17:30,17:32,17:33,17:34,17:35,17:35,17:36,17:37,17:38,17:39
245,Sundays and Public Holidays,18:00,18:02,18:03,18:04,18:05,18:05,18:06,18:07,18:08,18:09
245,Sundays and Public Holidays,18:30,18:32,18:33,18:34,18:35,18:35,18:36,18:37,18:38,18:39
245,Sundays and Public Holidays,19:00,19:02,19:03,19:04,19:05,19:05,19:06,19:07,19:08,19:09
245,Sundays and Public Holidays,19:30,19:32,19:33,19:34,19:35,19:35,19:36,19:37,19:38,19:39
245,Sundays and Public Holidays,20:00,20:02,20:03,20:04,20:05,20:05,20:06,20:07,20:08,20:09
245,Sundays and Public Holidays,20:30,20:32,20:33,20:34,20:35,20:35,20:36,20:37,20:38,20:39
245,Sundays and Public Holidays,21:00,21:02,21:03,21:04,21:05,21:05,21:06,21:07,21:08,21:09
