route_number,day_type,Crown,Paradise,Sand,Goedverwacht,Enon,Moravia,PM Louw,Silverstream,Atlantis Cemetery,Tsitsikamma,Montreal,Charel Uys North,Arion,Atlantis Station
234,Saturdays,07:15,07:16,07:17,07:18,07:20,07:21,07:22,07:24,07:26,07:28,07:29,07:31,07:33,07:33
234,Saturdays,07:57,07:58,07:59,08:00,08:02,08:03,08:04,08:06,08:08,08:10,08:11,08:13,08:15,08:15
234,Saturdays,08:39,08:40,08:41,08:42,08:44,08:45,08:46,08:48,08:50,08:52,08:53,08:55,08:57,08:57
234,Saturdays,09:21,09:22,09:23,09:24,09:26,09:27,09:28,09:30,09:32,09:34,09:35,09:37,09:39,09:39
234,Saturdays,10:03,10:04,10:05,10:06,10:08,10:09,10:10,10:12,10:14,10:16,10:17,10:19,10:21,10:21
234,Saturdays,10:45,10:46,10:47,10:48,10:50,10:51,10:52,10:54,10:56,10:58,10:59,11:01,11:03,11:03
234,Saturdays,11:27,11:28,11:29,11:30,11:32,11:33,11:34,11:36,11:38,11:40,11:41,11:43,11:45,11:45
234,Saturdays,12:09,12:10,12:11,12:12,12:14,12:15,12:16,12:18,12:20,12:22,12:23,12:25,12:27,12:27
234,Saturdays,12:51,12:52,12:53,12:54,12:56,12:57,12:58,13:00,13:02,13:04,13:05,13:07,13:09,13:09
234,Saturdays,13:33,13:34,13:35,13:36,13:38,13:39,13:40,13:42,13:44,13:46,13:47,13:49,13:51,13:51
234,Saturdays,14:15,14:16,14:17,14:18,14:20,14:21,14:22,14:24,14:26,14:28,14:29,14:31,14:33,14:33
234,Saturdays,14:57,14:58,14:59,15:00,15:02,15:03,15:04,15:06,15:08,15:10,15:11,15:13,15:15,15:15
234,Saturdays,15:39,15:40,15:41,15:42,15:44,15:45,15:46,15:48,15:50,15:52,15:53,15:55,15:57,15:57
234,Saturdays,16:21,16:22,16:23,16:24,16:26,16:27,16:28,16:30,16:32,16:34,16:35,16:37,16:39,16:39
