route_number,day_type,Atlantis Station,Nicobar,Parkview,Avondale,Gothenburg,Colebrook,Bengal,Alberto,Disa,Marigold,Bottlebrush,Berzelia,Starke,Charles Duminy,Tom Henshilwood,John Van Niekerk,Neil Hare,Charles Matthews,Johan Heyns North
232,Saturdays,13:32,13:34,13:35,13:36,13:37,13:38,13:39,13:40,13:41,13:42,13:42,13:43,13:45,13:46,13:48,13:49,13:51,13:54,13:55
232,Saturdays,14:32,14:34,14:35,14:36,14:37,14:38,14:39,14:40,14:41,14:42,14:42,14:43,14:45,14:46,14:48,14:49,14:51,14:54,14:55
232,Saturdays,15:32,15:34,15:35,15:36,15:37,15:38,15:39,15:40,15:41,15:42,15:42,15:43,15:45,15:46,15:48,15:49,15:51,15:54,15:55
232,Saturdays,16:32,16:34,16:35,16:36,16:37,16:38,16:39,16:40,16:41,16:42,16:42,16:43,16:45,16:46,16:48,16:49,16:51,16:54,16:55
232,Saturdays,17:32,17:34,17:35,17:36,17:37,17:38,17:39,17:40,17:41,17:42,17:42,17:43,17:45,17:46,17:48,17:49,17:51,17:54,17:55
232,Saturdays,18:32,18:34,18:35,18:36,18:37,18:38,18:39,18:40,18:41,18:42,18:42,18:43,18:45,18:46,18:48,18:49,18:51,18:54,18:55
232,Saturdays,19:32,19:34,19:35,19:36,19:37,19:38,19:39,19:40,19:41,19:42,19:42,19:43,19:45,19:46,19:48,19:49,19:51,19:54,19:55
232,Saturdays,20:32,20:34,20:35,20:36,20:37,20:38,20:39,20:40,20:41,20:42,20:42,20:43,20:45,20:46,20:48,20:49,20:51,20:54,20:55
232,Sundays and Public Holidays,05:22,05:24,05:25,05:26,05:27,05:28,05:29,05:30,05:31,05:32,05:32,05:33,05:35,05:36,05:38,05:39,05:41,05:44,05:45
232,Sundays and Public Holidays,05:42,05:44,05:45,05:46,05:47,05:48,05:49,05:50,05:51,05:52,05:52,05:53,05:55,05:56,05:58,05:59,06:01,06:04,06:05
232,Sundays and Public Holidays,06:22,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:32,06:33,06:35,06:36,06:38,06:39,06:41,06:44,06:45
232,Sundays and Public Holidays,06:42,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:52,06:53,06:55,06:56,06:58,06:59,07:01,07:04,07:05
232,Sundays and Public Holidays,07:22,07:24,07:25,07:26,07:27,07:28,07:29,07:30,07:31,07:32,07:32,07:33,07:35,07:36,07:38,07:39,07:41,07:44,07:45
232,Sundays and Public Holidays,07:42,07:44,07:45,07:46,07:47,07:48,07:49,07:50,07:51,07:52,07:52,07:53,07:55,07:56,07:58,07:59,08:01,08:04,08:05
232,Sundays and Public Holidays,08:22,08:24,08:25,08:26,08:27,08:28,08:29,08:30,08:31,08:32,08:32,08:33,08:35,08:36,08:38,08:39,08:41,08:44,08:45
232,Sundays and Public Holidays,08:42,08:44,08:45,08:46,08:47,08:48,08:49,08:50,08:51,08:52,08:52,08:53,08:55,08:56,08:58,08:59,09:01,09:04,09:05
232,Sundays and Public Holidays,09:22,09:24,09:25,09:26,09:27,09:28,09:29,09:30,09:31,09:32,09:32,09:33,09:35,09:36,09:38,09:39,09:41,09:44,09:45
232,Sundays and Public Holidays,10:32,10:34,10:35,10:36,10:37,10:38,10:39,10:40,10:41,10:42,10:42,10:43,10:45,10:46,10:48,10:49,10:51,10:54,10:55
232,Sundays and Public Holidays,11:32,11:34,11:35,11:36,11:37,11:38,11:39,11:40,11:41,11:42,11:42,11:43,11:45,11:46,11:48,11:49,11:51,11:54,11:55
232,Sundays and Public Holidays,12:32,12:34,12:35,12:36,12:37,12:38,12:39,12:40,12:41,12:42,12:42,12:43,12:45,12:46,12:48,12:49,12:51,12:54,12:55
232,Sundays and Public Holidays,13:32,13:34,13:35,13:36,13:37,13:38,13:39,13:40,13:41,13:42,13:42,13:43,13:45,13:46,13:48,13:49,13:51,13:54,13:55
232,Sundays and Public Holidays,14:32,14:34,14:35,14:36,14:37,14:38,14:39,14:40,14:41,14:42,14:42,14:43,14:45,14:46,14:48,14:49,14:51,14:54,14:55
232,Sundays and Public Holidays,15:32,15:34,15:35,15:36,15:37,15:38,15:39,15:40,15:41,15:42,15:42,15:43,15:45,15:46,15:48,15:49,15:51,15:54,15:55
232,Sundays and Public Holidays,16:32,16:34,16:35,16:36,16:37,16:38,16:39,16:40,16:41,16:42,16:42,16:43,16:45,16:46,16:48,16:49,16:51,16:54,16:55
232,Sundays and Public Holidays,17:32,17:34,17:35,17:36,17:37,17:38,17:39,17:40,17:41,17:42,17:42,17:43,17:45,17:46,17:48,17:49,17:51,17:54,17:55
232,Sundays and Public Holidays,18:32,18:34,18:35,18:36,18:37,18:38,18:39,18:40,18:41,18:42,18:42,18:43,18:45,18:46,18:48,18:49,18:51,18:54,18:55
232,Sundays and Public Holidays,19:32,19:34,19:35,19:36,19:37,19:38,19:39,19:40,19:41,19:42,19:42,19:43,19:45,19:46,19:48,19:49,19:51,19:54,19:55
232,Sundays and Public Holidays,20:32,20:34,20:35,20:36,20:37,20:38,20:39,20:40,20:41,20:42,20:42,20:43,20:45,20:46,20:48,20:49,20:51,20:54,20:55
