route_number,day_type,Atlantis Station,Reygersdal,Charel Uys,Grosvenor,Dahlia,Starke,Harry Alexander,David Cloete,John Dreyer,Johan Heyns,Industrial,Charles Piers,Louwtjie Rothman,Gideon Basson,DaimlerBenz,August Kotzenberg
231,Mondays to Fridays,16:33,16:34,16:35,16:36,16:37,16:38,16:39,16:40,16:41,16:43,16:45,16:46,16:47,16:49,16:50,16:51
231,Mondays to Fridays,16:53,16:54,16:55,16:56,16:57,16:58,16:59,17:00,17:01,17:03,17:05,17:06,17:07,17:09,17:10,17:11
231,Mondays to Fridays,17:13,17:14,17:15,17:16,17:17,17:18,17:19,17:20,17:21,17:23,17:25,17:26,17:27,17:29,17:30,17:31
231,Mondays to Fridays,17:33,17:34,17:35,17:36,17:37,17:38,17:39,17:40,17:41,17:43,17:45,17:46,17:47,17:49,17:50,17:51
231,Mondays to Fridays,17:53,17:54,17:55,17:56,17:57,17:58,17:59,18:00,18:01,18:03,18:05,18:06,18:07,18:09,18:10,18:11
231,Mondays to Fridays,18:10,18:11,18:12,18:13,18:14,18:15,18:16,18:17,18:18,18:19,18:19,18:20,18:21,18:23,18:24,18:25
231,Mondays to Fridays,18:13,18:14,18:15,18:16,18:17,18:18,18:19,18:20,18:21,18:23,18:25,18:26,18:27,18:29,18:30,18:31
231,Mondays to Fridays,18:33,18:34,18:35,18:36,18:37,18:38,18:39,18:40,18:41,18:43,18:45,18:46,18:47,18:49,18:50,18:51
231,Mondays to Fridays,19:13,19:14,19:15,19:16,19:17,19:18,19:19,19:20,19:21,19:23,19:25,19:26,19:27,19:29,19:30,19:31
231,Mondays to Fridays,19:53,19:54,19:55,19:56,19:57,19:58,19:59,20:00,20:01,20:03,20:05,20:06,20:07,20:09,20:10,20:11
231,Mondays to Fridays,20:33,20:34,20:35,20:36,20:37,20:38,20:39,20:40,20:41,20:43,20:45,20:46,20:47,20:49,20:50,20:51
231,Mondays to Fridays,21:13,21:14,21:15,21:16,21:17,21:18,21:19,21:20,21:21,21:23,21:25,21:26,21:27,21:29,21:30,21:31
231,Saturdays,05:27,05:28,05:29,05:30,05:31,05:32,05:33,05:34,05:35,05:36,05:36,05:37,05:38,05:40,05:41,05:42
231,Saturdays,05:47,05:48,05:49,05:50,05:51,05:52,05:53,05:54,05:55,05:56,05:56,05:57,05:58,06:00,06:01,06:02
231,Saturdays,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:16,06:17,06:18,06:20,06:21,06:22
231,Saturdays,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:29,06:30,06:31,06:33,06:34,06:35
231,Saturdays,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:56,06:57,06:58,07:00,07:01,07:02
231,Saturdays,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:16,07:17,07:18,07:20,07:21,07:22
231,Saturdays,07:27,07:28,07:29,07:30,07:31,07:32,07:33,07:34,07:35,07:36,07:36,07:37,07:38,07:40,07:41,07:42
231,Saturdays,07:47,07:48,07:49,07:50,07:51,07:52,07:53,07:54,07:55,07:56,07:56,07:57,07:58,08:00,08:01,08:02
231,Saturdays,08:07,08:08,08:09,08:10,08:11,08:12,08:13,08:14,08:15,08:16,08:16,08:17,08:18,08:20,08:21,08:22
231,Saturdays,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:35,08:36,08:36,08:37,08:38,08:40,08:41,08:42
231,Saturdays,08:47,08:48,08:49,08:50,08:51,08:52,08:53,08:54,08:55,08:56,08:56,08:57,08:58,09:00,09:01,09:02
231,Saturdays,09:05,09:06,09:07,09:08,09:09,09:10,09:11,09:12,09:13,09:14,09:14,09:15,09:16,09:18,09:19,09:20
231,Saturdays,09:43,09:44,09:45,09:46,09:47,09:48,09:49,09:50,09:51,09:52,09:52,09:53,09:54,09:56,09:57,09:58
231,Saturdays,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:27,10:28,10:29,10:29,10:30,10:31,10:33,10:34,10:35
231,Saturdays,10:57,10:58,10:59,11:00,11:01,11:02,11:03,11:04,11:05,11:06,11:06,11:07,11:08,11:10,11:11,11:12
231,Saturdays,11:34,11:35,11:36,11:37,11:38,11:39,11:40,11:41,11:42,11:43,11:43,11:44,11:45,11:47,11:48,11:49
231,Saturdays,12:11,12:12,12:13,12:14,12:15,12:16,12:17,12:18,12:19,12:20,12:20,12:21,12:22,12:24,12:25,12:26
231,Saturdays,12:48,12:49,12:50,12:51,12:52,12:53,12:54,12:55,12:56,12:57,12:57,12:58,12:59,13:01,13:02,13:03
231,Saturdays,13:25,13:26,13:27,13:28,13:29,13:30,13:31,13:32,13:33,13:34,13:34,13:35,13:36,13:38,13:39,13:40
231,Saturdays,14:02,14:03,14:04,14:05,14:06,14:07,14:08,14:09,14:10,14:11,14:11,14:12,14:13,14:15,14:16,14:17
231,Saturdays,14:39,14:40,14:41,14:42,14:43,14:44,14:45,14:46,14:47,14:48,14:48,14:49,14:50,14:52,14:53,14:54
231,Saturdays,15:16,15:17,15:18,15:19,15:20,15:21,15:22,15:23,15:24,15:25,15:25,15:26,15:27,15:29,15:30,15:31
231,Saturdays,15:53,15:54,15:55,15:56,15:57,15:58,15:59,16:00,16:01,16:02,16:02,16:03,16:04,16:06,16:07,16:08
231,Saturdays,16:30,16:31,16:32,16:33,16:34,16:35,16:36,16:37,16:38,16:39,16:39,16:40,16:41,16:43,16:44,16:45
231,Saturdays,17:07,17:08,17:09,17:10,17:11,17:12,17:13,17:14,17:15,17:16,17:16,17:17,17:18,17:20,17:21,17:22
231,Saturdays,17:44,17:45,17:46,17:47,17:48,17:49,17:50,17:51,17:52,17:53,17:53,17:54,17:55,17:57,17:58,17:59
231,Saturdays,18:21,18:22,18:23,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:30,18:31,18:32,18:34,18:35,18:36
231,Saturdays,18:58,18:59,19:00,19:01,19:02,19:03,19:04,19:05,19:06,19:07,19:07,19:08,19:09,19:11,19:12,19:13
231,Saturdays,19:35,19:36,19:37,19:38,19:39,19:40,19:41,19:42,19:43,19:44,19:44,19:45,19:46,19:48,19:49,19:50
231,Saturdays,20:12,20:13,20:14,20:15,20:16,20:17,20:18,20:19,20:20,20:21,20:21,20:22,20:23,20:25,20:26,20:27
231,Saturdays,20:49,20:50,20:51,20:52,20:53,20:54,20:55,20:56,20:57,20:58,20:58,20:59,21:00,21:02,21:03,21:04
231,Saturdays,21:26,21:27,21:28,21:29,21:30,21:31,21:32,21:33,21:34,21:35,21:35,21:36,21:37,21:39,21:40,21:41
231,Sundays and Public Holidays,05:27,05:28,05:29,05:30,05:31,05:32,05:33,05:34,05:35,05:36,05:36,05:37,05:38,05:40,05:41,05:42
231,Sundays and Public Holidays,05:47,05:48,05:49,05:50,05:51,05:52,05:53,05:54,05:55,05:56,05:56,05:57,05:58,06:00,06:01,06:02
231,Sundays and Public Holidays,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:16,06:17,06:18,06:20,06:21,06:22
231,Sundays and Public Holidays,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:29,06:30,06:31,06:33,06:34,06:35
231,Sundays and Public Holidays,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:56,06:57,06:58,07:00,07:01,07:02
231,Sundays and Public Holidays,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:16,07:17,07:18,07:20,07:21,07:22
231,Sundays and Public Holidays,07:27,07:28,07:29,07:30,07:31,07:32,07:33,07:34,07:35,07:36,07:36,07:37,07:38,07:40,07:41,07:42
231,Sundays and Public Holidays,07:47,07:48,07:49,07:50,07:51,07:52,07:53,07:54,07:55,07:56,07:56,07:57,07:58,08:00,08:01,08:02
231,Sundays and Public Holidays,08:07,08:08,08:09,08:10,08:11,08:12,08:13,08:14,08:15,08:16,08:16,08:17,08:18,08:20,08:21,08:22
231,Sundays and Public Holidays,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:35,08:36,08:36,08:37,08:38,08:40,08:41,08:42
231,Sundays and Public Holidays,08:47,08:48,08:49,08:50,08:51,08:52,08:53,08:54,08:55,08:56,08:56,08:57,08:58,09:00,09:01,09:02
231,Sundays and Public Holidays,09:05,09:06,09:07,09:08,09:09,09:10,09:11,09:12,09:13,09:14,09:14,09:15,09:16,09:18,09:19,09:20
231,Sundays and Public Holidays,09:43,09:44,09:45,09:46,09:47,09:48,09:49,09:50,09:51,09:52,09:52,09:53,09:54,09:56,09:57,09:58
231,Sundays and Public Holidays,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:27,10:28,10:29,10:29,10:30,10:31,10:33,10:34,10:35
231,Sundays and Public Holidays,10:57,10:58,10:59,11:00,11:01,11:02,11:03,11:04,11:05,11:06,11:06,11:07,11:08,11:10,11:11,11:12
231,Sundays and Public Holidays,11:34,11:35,11:36,11:37,11:38,11:39,11:40,11:41,11:42,11:43,11:43,11:44,11:45,11:47,11:48,11:49
231,Sundays and Public Holidays,12:11,12:12,12:13,12:14,12:15,12:16,12:17,12:18,12:19,12:20,12:20,12:21,12:22,12:24,12:25,12:26
231,Sundays and Public Holidays,12:48,12:49,12:50,12:51,12:52,12:53,12:54,12:55,12:56,12:57,12:57,12:58,12:59,13:01,13:02,13:03
231,Sundays and Public Holidays,13:25,13:26,13:27,13:28,13:29,13:30,13:31,13:32,13:33,13:34,13:34,13:35,13:36,13:38,13:39,13:40
231,Sundays and Public Holidays,14:02,14:03,14:04,14:05,14:06,14:07,14:08,14:09,14:10,14:11,14:11,14:12,14:13,14:15,14:16,14:17
231,Sundays and Public Holidays,14:39,14:40,14:41,14:42,14:43,14:44,14:45,14:46,14:47,14:48,14:48,14:49,14:50,14:52,14:53,14:54
231,Sundays and Public Holidays,15:16,15:17,15:18,15:19,15:20,15:21,15:22,15:23,15:24,15:25,15:25,15:26,15:27,15:29,15:30,15:31
231,Sundays and Public Holidays,15:53,15:54,15:55,15:56,15:57,15:58,15:59,16:00,16:01,16:02,16:02,16:03,16:04,16:06,16:07,16:08
231,Sundays and Public Holidays,16:30,16:31,16:32,16:33,16:34,16:35,16:36,16:37,16:38,16:39,16:39,16:40,16:41,16:43,16:44,16:45
231,Sundays and Public Holidays,17:07,17:08,17:09,17:10,17:11,17:12,17:13,17:14,17:15,17:16,17:16,17:17,17:18,17:20,17:21,17:22
231,Sundays and Public Holidays,17:44,17:45,17:46,17:47,17:48,17:49,17:50,17:51,17:52,17:53,17:53,17:54,17:55,17:57,17:58,17:59
231,Sundays and Public Holidays,18:21,18:22,18:23,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:30,18:31,18:32,18:34,18:35,18:36
231,Sundays and Public Holidays,18:58,18:59,19:00,19:01,19:02,19:03,19:04,19:05,19:06,19:07,19:07,19:08,19:09,19:11,19:12,19:13
231,Sundays and Public Holidays,19:35,19:36,19:37,19:38,19:39,19:40,19:41,19:42,19:43,19:44,19:44,19:45,19:46,19:48,19:49,19:50
231,Sundays and Public Holidays,20:12,20:13,20:14,20:15,20:16,20:17,20:18,20:19,20:20,20:21,20:21,20:22,20:23,20:25,20:26,20:27
231,Sundays and Public Holidays,20:49,20:50,20:51,20:52,20:53,20:54,20:55,20:56,20:57,20:58,20:58,20:59,21:00,21:02,21:03,21:04
231,Sundays and Public Holidays,21:26,21:27,21:28,21:29,21:30,21:31,21:32,21:33,21:34,21:35,21:35,21:36,21:37,21:39,21:40,21:41
