route_number,day_type,Stables Turnaround,Killarney,Potsdam,Circle East,Wood,Janssens,Grey,Table View,Sunset Beach,Racecourse,Milnerton,Woodbridge,Lagoon Beach,Zoarvlei,Vrystaat,Section,Neptune,Paarden Eiland,Woodstock,Civic Centre,Thibault Square,Stadium,Granger Bay,Waterfront
T01,Saturdays,14:40,14:44,14:47,14:51,14:53,14:54,14:57,14:58,15:04,15:06,15:08,15:11,15:14,15:17,15:19,15:22,15:24,15:26,15:30,15:34,15:36,15:41,15:44,15:47
T01,Saturdays,15:00,15:04,15:07,15:11,15:13,15:14,15:17,15:18,15:24,15:26,15:28,15:31,15:34,15:37,15:39,15:42,15:44,15:46,15:50,15:54,15:56,16:01,16:04,16:07
T01,Saturdays,15:20,15:24,15:27,15:31,15:33,15:34,15:37,15:38,15:44,15:46,15:48,15:51,15:54,15:57,15:59,16:02,16:04,16:06,16:10,16:14,16:16,16:21,16:24,16:27
T01,Saturdays,15:40,15:44,15:47,15:51,15:53,15:54,15:57,15:58,16:04,16:06,16:08,16:11,16:14,16:17,16:19,16:22,16:24,16:26,16:30,16:34,16:36,16:41,16:44,16:47
T01,Saturdays,16:00,16:04,16:07,16:11,16:13,16:14,16:17,16:18,16:24,16:26,16:28,16:31,16:34,16:37,16:39,16:42,16:44,16:46,16:50,16:54,16:56,17:01,17:04,17:07
T01,Saturdays,16:20,16:24,16:27,16:31,16:33,16:34,16:37,16:38,16:44,16:46,16:48,16:51,16:54,16:57,16:59,17:02,17:04,17:06,17:10,17:14,17:16,17:21,17:24,17:27
T01,Saturdays,16:40,16:44,16:47,16:51,16:53,16:54,16:57,16:58,17:04,17:06,17:08,17:11,17:14,17:17,17:19,17:22,17:24,17:26,17:30,17:34,17:36,17:41,17:44,17:47
T01,Saturdays,17:00,17:04,17:07,17:11,17:13,17:14,17:17,17:18,17:24,17:26,17:28,17:31,17:34,17:37,17:39,17:42,17:44,17:46,17:50,17:54,17:56,18:01,18:04,18:07
T01,Saturdays,17:20,17:24,17:27,17:31,17:33,17:34,17:37,17:38,17:44,17:46,17:48,17:51,17:54,17:57,17:59,18:02,18:04,18:06,18:10,18:14,18:16,18:21,18:24,18:27
T01,Saturdays,17:40,17:44,17:47,17:51,17:53,17:54,17:57,17:58,18:04,18:06,18:08,18:11,18:14,18:17,18:19,18:22,18:24,18:26,18:30,18:34,18:36,18:41,18:44,18:47
T01,Saturdays,18:00,18:04,18:07,18:11,18:13,18:14,18:17,18:18,18:24,18:26,18:28,18:31,18:34,18:37,18:39,18:42,18:44,18:46,18:50,18:54,18:56,19:01,19:04,19:07
T01,Saturdays,18:20,18:24,18:27,18:31,18:33,18:34,18:37,18:38,18:44,18:46,18:48,18:51,18:54,18:57,18:59,19:02,19:04,19:06,19:10,19:14,19:16,19:21,19:24,19:27
T01,Saturdays,18:40,18:44,18:47,18:51,18:53,18:54,18:57,18:58,19:04,19:06,19:08,19:11,19:14,19:17,19:19,19:22,19:24,19:26,19:30,19:34,19:36,19:41,19:44,19:47
T01,Saturdays,19:00,19:04,19:07,19:11,19:13,19:14,19:17,19:18,19:24,19:26,19:28,19:31,19:34,19:37,19:39,19:42,19:44,19:46,19:50,19:54,19:56,20:01,20:04,20:07
T01,Saturdays,19:20,19:24,19:27,19:31,19:33,19:34,19:37,19:38,19:44,19:46,19:48,19:51,19:54,19:57,19:59,20:02,20:04,20:06,20:10,20:14,20:16,20:21,20:24,20:27
T01,Saturdays,19:40,19:44,19:47,19:51,19:53,19:54,19:57,19:58,20:04,20:06,20:08,20:11,20:14,20:17,20:19,20:22,20:24,20:26,20:30,20:34,20:36,20:41,20:44,20:47
T01,Saturdays,20:00,20:04,20:07,20:11,20:13,20:14,20:17,20:18,20:24,20:26,20:28,20:31,20:34,20:37,20:39,20:42,20:44,20:46,20:50,20:54,20:56,21:01,21:04,21:07
T01,Saturdays,20:20,20:24,20:27,20:31,20:33,20:34,20:37,20:38,20:44,20:46,20:48,20:51,20:54,20:57,20:59,21:02,21:04,21:06,21:10,21:14,21:16,21:21,21:24,21:27
T01,Saturdays,20:40,20:44,20:47,20:51,20:53,20:54,20:57,20:58,21:04,21:06,21:08,21:11,21:14,21:17,21:19,21:22,21:24,21:26,21:30,21:33,,,,
T01,Saturdays,21:00,21:04,21:07,21:11,21:13,21:14,21:17,21:18,21:24,21:26,21:28,21:31,21:34,21:37,21:39,21:42,21:44,21:46,21:50,21:53,,,,
T01,Saturdays,21:20,21:24,21:27,21:31,21:33,21:34,21:37,21:38,21:44,21:46,21:48,21:51,21:54,21:57,21:59,22:02,22:04,22:06,22:10,22:13,,,,
T01,Sundays and Public Holidays,05:20,05:24,05:27,05:31,05:33,05:34,05:37,05:38,05:44,05:46,05:48,05:51,05:54,05:57,05:59,06:02,06:04,06:06,06:10,06:14,06:16,06:21,06:24,06:27
T01,Sundays and Public Holidays,05:40,05:44,05:47,05:51,05:53,05:54,05:57,05:58,06:04,06:06,06:08,06:11,06:14,06:17,06:19,06:22,06:24,06:26,06:30,06:34,06:36,06:41,06:44,06:47
T01,Sundays and Public Holidays,06:00,06:04,06:07,06:11,06:13,06:14,06:17,06:18,06:24,06:26,06:28,06:31,06:34,06:37,06:39,06:42,06:44,06:46,06:50,06:54,06:56,07:01,07:04,07:07
T01,Sundays and Public Holidays,06:20,06:24,06:27,06:31,06:33,06:34,06:37,06:38,06:44,06:46,06:48,06:51,06:54,06:57,06:59,07:02,07:04,07:06,07:10,07:14,07:16,07:21,07:24,07:27
T01,Sundays and Public Holidays,06:40,06:44,06:47,06:51,06:53,06:54,06:57,06:58,07:04,07:06,07:08,07:11,07:14,07:17,07:19,07:22,07:24,07:26,07:30,07:34,07:36,07:41,07:44,07:47
T01,Sundays and Public Holidays,07:00,07:04,07:07,07:11,07:13,07:14,07:17,07:18,07:24,07:26,07:28,07:31,07:34,07:37,07:39,07:42,07:44,07:46,07:50,07:54,07:56,08:01,08:04,08:07
T01,Sundays and Public Holidays,07:20,07:24,07:27,07:31,07:33,07:34,07:37,07:38,07:44,07:46,07:48,07:51,07:54,07:57,07:59,08:02,08:04,08:06,08:10,08:14,08:16,08:21,08:24,08:27
T01,Sundays and Public Holidays,07:40,07:44,07:47,07:51,07:53,07:54,07:57,07:58,08:04,08:06,08:08,08:11,08:14,08:17,08:19,08:22,08:24,08:26,08:30,08:34,08:36,08:41,08:44,08:47
T01,Sundays and Public Holidays,08:00,08:04,08:07,08:11,08:13,08:14,08:17,08:18,08:24,08:26,08:28,08:31,08:34,08:37,08:39,08:42,08:44,08:46,08:50,08:54,08:56,09:01,09:04,09:07
T01,Sundays and Public Holidays,08:20,08:24,08:27,08:31,08:33,08:34,08:37,08:38,08:44,08:46,08:48,08:51,08:54,08:57,08:59,09:02,09:04,09:06,09:10,09:14,09:16,09:21,09:24,09:27
T01,Sundays and Public Holidays,08:40,08:44,08:47,08:51,08:53,08:54,08:57,08:58,09:04,09:06,09:08,09:11,09:14,09:17,09:19,09:22,09:24,09:26,09:30,09:34,09:36,09:41,09:44,09:47
T01,Sundays and Public Holidays,09:00,09:04,09:07,09:11,09:13,09:14,09:17,09:18,09:24,09:26,09:28,09:31,09:34,09:37,09:39,09:42,09:44,09:46,09:50,09:54,09:56,10:01,10:04,10:07
T01,Sundays and Public Holidays,09:20,09:24,09:27,09:31,09:33,09:34,09:37,09:38,09:44,09:46,09:48,09:51,09:54,09:57,09:59,10:02,10:04,10:06,10:10,10:14,10:16,10:21,10:24,10:27
T01,Sundays and Public Holidays,09:40,09:44,09:47,09:51,09:53,09:54,09:57,09:58,10:04,10:06,10:08,10:11,10:14,10:17,10:19,10:22,10:24,10:26,10:30,10:34,10:36,10:41,10:44,10:47
T01,Sundays and Public Holidays,10:00,10:04,10:07,10:11,10:13,10:14,10:17,10:18,10:24,10:26,10:28,10:31,10:34,10:37,10:39,10:42,10:44,10:46,10:50,10:54,10:56,11:01,11:04,11:07
T01,Sundays and Public Holidays,10:20,10:24,10:27,10:31,10:33,10:34,10:37,10:38,10:44,10:46,10:48,10:51,10:54,10:57,10:59,11:02,11:04,11:06,11:10,11:14,11:16,11:21,11:24,11:27
T01,Sundays and Public Holidays,10:40,10:44,10:47,10:51,10:53,10:54,10:57,10:58,11:04,11:06,11:08,11:11,11:14,11:17,11:19,11:22,11:24,11:26,11:30,11:34,11:36,11:41,11:44,11:47
T01,Sundays and Public Holidays,11:00,11:04,11:07,11:11,11:13,11:14,11:17,11:18,11:24,11:26,11:28,11:31,11:34,11:37,11:39,11:42,11:44,11:46,11:50,11:54,11:56,12:01,12:04,12:07
T01,Sundays and Public Holidays,11:20,11:24,11:27,11:31,11:33,11:34,11:37,11:38,11:44,11:46,11:48,11:51,11:54,11:57,11:59,12:02,12:04,12:06,12:10,12:14,12:16,12:21,12:24,12:27
T01,Sundays and Public Holidays,11:40,11:44,11:47,11:51,11:53,11:54,11:57,11:58,12:04,12:06,12:08,12:11,12:14,12:17,12:19,12:22,12:24,12:26,12:30,12:34,12:36,12:41,12:44,12:47
T01,Sundays and Public Holidays,12:00,12:04,12:07,12:11,12:13,12:14,12:17,12:18,12:24,12:26,12:28,12:31,12:34,12:37,12:39,12:42,12:44,12:46,12:50,12:54,12:56,13:01,13:04,13:07
T01,Sundays and Public Holidays,12:20,12:24,12:27,12:31,12:33,12:34,12:37,12:38,12:44,12:46,12:48,12:51,12:54,12:57,12:59,13:02,13:04,13:06,13:10,13:14,13:16,13:21,13:24,13:27
T01,Sundays and Public Holidays,12:40,12:44,12:47,12:51,12:53,12:54,12:57,12:58,13:04,13:06,13:08,13:11,13:14,13:17,13:19,13:22,13:24,13:26,13:30,13:34,13:36,13:41,13:44,13:47
T01,Sundays and Public Holidays,13:00,13:04,13:07,13:11,13:13,13:14,13:17,13:18,13:24,13:26,13:28,13:31,13:34,13:37,13:39,13:42,13:44,13:46,13:50,13:54,13:56,14:01,14:04,14:07
T01,Sundays and Public Holidays,13:20,13:24,13:27,13:31,13:33,13:34,13:37,13:38,13:44,13:46,13:48,13:51,13:54,13:57,13:59,14:02,14:04,14:06,14:10,14:14,14:16,14:21,14:24,14:27
T01,Sundays and Public Holidays,13:40,13:44,13:47,13:51,13:53,13:54,13:57,13:58,14:04,14:06,14:08,14:11,14:14,14:17,14:19,14:22,14:24,14:26,14:30,14:34,14:36,14:41,14:44,14:47
T01,Sundays and Public Holidays,14:00,14:04,14:07,14:11,14:13,14:14,14:17,14:18,14:24,14:26,14:28,14:31,14:34,14:37,14:39,14:42,14:44,14:46,14:50,14:54,14:56,15:01,15:04,15:07
T01,Sundays and Public Holidays,14:20,14:24,14:27,14:31,14:33,14:34,14:37,14:38,14:44,14:46,14:48,14:51,14:54,14:57,14:59,15:02,15:04,15:06,15:10,15:14,15:16,15:21,15:24,15:27
T01,Sundays and Public Holidays,14:40,14:44,14:47,14:51,14:53,14:54,14:57,14:58,15:04,15:06,15:08,15:11,15:14,15:17,15:19,15:22,15:24,15:26,15:30,15:34,15:36,15:41,15:44,15:47
T01,Sundays and Public Holidays,15:00,15:04,15:07,15:11,15:13,15:14,15:17,15:18,15:24,15:26,15:28,15:31,15:34,15:37,15:39,15:42,15:44,15:46,15:50,15:54,15:56,16:01,16:04,16:07
T01,Sundays and Public Holidays,15:20,15:24,15:27,15:31,15:33,15:34,15:37,15:38,15:44,15:46,15:48,15:51,15:54,15:57,15:59,16:02,16:04,16:06,16:10,16:14,16:16,16:21,16:24,16:27
T01,Sundays and Public Holidays,15:40,15:44,15:47,15:51,15:53,15:54,15:57,15:58,16:04,16:06,16:08,16:11,16:14,16:17,16:19,16:22,16:24,16:26,16:30,16:34,16:36,16:41,16:44,16:47
T01,Sundays and Public Holidays,16:00,16:04,16:07,16:11,16:13,16:14,16:17,16:18,16:24,16:26,16:28,16:31,16:34,16:37,16:39,16:42,16:44,16:46,16:50,16:54,16:56,17:01,17:04,17:07
T01,Sundays and Public Holidays,16:20,16:24,16:27,16:31,16:33,16:34,16:37,16:38,16:44,16:46,16:48,16:51,16:54,16:57,16:59,17:02,17:04,17:06,17:10,17:14,17:16,17:21,17:24,17:27
T01,Sundays and Public Holidays,16:40,16:44,16:47,16:51,16:53,16:54,16:57,16:58,17:04,17:06,17:08,17:11,17:14,17:17,17:19,17:22,17:24,17:26,17:30,17:34,17:36,17:41,17:44,17:47
T01,Sundays and Public Holidays,17:00,17:04,17:07,17:11,17:13,17:14,17:17,17:18,17:24,17:26,17:28,17:31,17:34,17:37,17:39,17:42,17:44,17:46,17:50,17:54,17:56,18:01,18:04,18:07
T01,Sundays and Public Holidays,17:20,17:24,17:27,17:31,17:33,17:34,17:37,17:38,17:44,17:46,17:48,17:51,17:54,17:57,17:59,18:02,18:04,18:06,18:10,18:14,18:16,18:21,18:24,18:27
T01,Sundays and Public Holidays,17:40,17:44,17:47,17:51,17:53,17:54,17:57,17:58,18:04,18:06,18:08,18:11,18:14,18:17,18:19,18:22,18:24,18:26,18:30,18:34,18:36,18:41,18:44,18:47
T01,Sundays and Public Holidays,18:00,18:04,18:07,18:11,18:13,18:14,18:17,18:18,18:24,18:26,18:28,18:31,18:34,18:37,18:39,18:42,18:44,18:46,18:50,18:54,18:56,19:01,19:04,19:07
T01,Sundays and Public Holidays,18:20,18:24,18:27,18:31,18:33,18:34,18:37,18:38,18:44,18:46,18:48,18:51,18:54,18:57,18:59,19:02,19:04,19:06,19:10,19:14,19:16,19:21,19:24,19:27
T01,Sundays and Public Holidays,18:40,18:44,18:47,18:51,18:53,18:54,18:57,18:58,19:04,19:06,19:08,19:11,19:14,19:17,19:19,19:22,19:24,19:26,19:30,19:34,19:36,19:41,19:44,19:47
T01,Sundays and Public Holidays,19:00,19:04,19:07,19:11,19:13,19:14,19:17,19:18,19:24,19:26,19:28,19:31,19:34,19:37,19:39,19:42,19:44,19:46,19:50,19:54,19:56,20:01,20:04,20:07
T01,Sundays and Public Holidays,19:20,19:24,19:27,19:31,19:33,19:34,19:37,19:38,19:44,19:46,19:48,19:51,19:54,19:57,19:59,20:02,20:04,20:06,20:10,20:14,20:16,20:21,20:24,20:27
T01,Sundays and Public Holidays,19:40,19:44,19:47,19:51,19:53,19:54,19:57,19:58,20:04,20:06,20:08,20:11,20:14,20:17,20:19,20:22,20:24,20:26,20:30,20:34,20:36,20:41,20:44,20:47
T01,Sundays and Public Holidays,20:00,20:04,20:07,20:11,20:13,20:14,20:17,20:18,20:24,20:26,20:28,20:31,20:34,20:37,20:39,20:42,20:44,20:46,20:50,20:54,20:56,21:01,21:04,21:07
T01,Sundays and Public Holidays,20:20,20:24,20:27,20:31,20:33,20:34,20:37,20:38,20:44,20:46,20:48,20:51,20:54,20:57,20:59,21:02,21:04,21:06,21:10,21:14,21:16,21:21,21:24,21:27
T01,Sundays and Public Holidays,20:40,20:44,20:47,20:51,20:53,20:54,20:57,20:58,21:04,21:06,21:08,21:11,21:14,21:17,21:19,21:22,21:24,21:26,21:30,21:33,,,,
T01,Sundays and Public Holidays,21:00,21:04,21:07,21:11,21:13,21:14,21:17,21:18,21:24,21:26,21:28,21:31,21:34,21:37,21:39,21:42,21:44,21:46,21:50,21:53,,,,
T01,Sundays and Public Holidays,21:20,21:24,21:27,21:31,21:33,21:34,21:37,21:38,21:44,21:46,21:48,21:51,21:54,21:57,21:59,22:02,22:04,22:06,22:10,22:13,,,,
