route_number,day_type,Montezuma,Newlands,Sparrebos,Windsor,Woodville,Brenton,Sparrebos,Knysna,Insiswa,Kolgha,Lagan,Clearwater,Sherwood,Brutus,Atlantis Station
236,Mondays to Fridays,16:45,16:46,16:46,16:47,16:48,16:49,16:46,16:51,16:52,16:53,16:54,16:55,16:56,16:57,16:58
236,Mondays to Fridays,16:57,16:58,16:58,16:59,17:00,17:01,16:58,17:03,17:04,17:05,17:06,17:07,17:08,17:09,17:10
236,Mondays to Fridays,17:09,17:10,17:10,17:11,17:12,17:13,17:10,17:15,17:16,17:17,17:18,17:19,17:20,17:21,17:22
236,Mondays to Fridays,17:21,17:22,17:22,17:23,17:24,17:25,17:22,17:27,17:28,17:29,17:30,17:31,17:32,17:33,17:34
236,Mondays to Fridays,17:33,17:34,17:34,17:35,17:36,17:37,17:34,17:39,17:40,17:41,17:42,17:43,17:44,17:45,17:46
236,Mondays to Fridays,17:45,17:46,17:46,17:47,17:48,17:49,17:46,17:51,17:52,17:53,17:54,17:55,17:56,17:57,17:58
236,Mondays to Fridays,17:57,17:58,17:58,17:59,18:00,18:01,17:58,18:03,18:04,18:05,18:06,18:07,18:08,18:09,18:10
236,Mondays to Fridays,18:09,18:10,18:10,18:11,18:12,18:13,18:10,18:15,18:16,18:17,18:18,18:19,18:20,18:21,18:22
236,Mondays to Fridays,18:21,18:22,18:22,18:23,18:24,18:25,18:22,18:27,18:28,18:29,18:30,18:31,18:32,18:33,18:34
236,Mondays to Fridays,18:33,18:34,18:34,18:35,18:36,18:37,18:34,18:39,18:40,18:41,18:42,18:43,18:44,18:45,18:46
236,Mondays to Fridays,18:57,18:58,18:58,18:59,19:00,19:01,18:58,19:03,19:04,19:05,19:06,19:07,19:08,19:09,19:10
236,Mondays to Fridays,19:21,19:22,19:22,19:23,19:24,19:25,19:22,19:27,19:28,19:29,19:30,19:31,19:32,19:33,19:34
236,Mondays to Fridays,19:45,19:46,19:46,19:47,19:48,19:49,19:46,19:51,19:52,19:53,19:54,19:55,19:56,19:57,19:58
