route_number,day_type,Pella North,Pella Central,Pella South,Atlantis Cemetery,Tsitsikamma,Montreal,Charel Uys North,Arion,Atlantis Station
235,Sundays and Public Holidays,10:24,10:25,10:27,10:29,10:31,10:32,10:33,10:34,10:36
235,Sundays and Public Holidays,10:54,10:55,10:57,10:59,11:01,11:02,11:03,11:04,11:06
235,Sundays and Public Holidays,11:24,11:25,11:27,11:29,11:31,11:32,11:33,11:34,11:36
235,Sundays and Public Holidays,11:54,11:55,11:57,11:59,12:01,12:02,12:03,12:04,12:06
235,Sundays and Public Holidays,12:24,12:25,12:27,12:29,12:31,12:32,12:33,12:34,12:36
235,Sundays and Public Holidays,12:54,12:55,12:57,12:59,13:01,13:02,13:03,13:04,13:06
235,Sundays and Public Holidays,13:24,13:25,13:27,13:29,13:31,13:32,13:33,13:34,13:36
235,Sundays and Public Holidays,13:54,13:55,13:57,13:59,14:01,14:02,14:03,14:04,14:06
235,Sundays and Public Holidays,14:24,14:25,14:27,14:29,14:31,14:32,14:33,14:34,14:36
235,Sundays and Public Holidays,14:54,14:55,14:57,14:59,15:01,15:02,15:03,15:04,15:06
235,Sundays and Public Holidays,15:24,15:25,15:27,15:29,15:31,15:32,15:33,15:34,15:36
235,Sundays and Public Holidays,15:54,15:55,15:57,15:59,16:01,16:02,16:03,16:04,16:06
235,Sundays and Public Holidays,16:24,16:25,16:27,16:29,16:31,16:32,16:33,16:34,16:36
235,Sundays and Public Holidays,16:54,16:55,16:57,16:59,17:01,17:02,17:03,17:04,17:06
235,Sundays and Public Holidays,17:24,17:25,17:27,17:29,17:31,17:32,17:33,17:34,17:36
235,Sundays and Public Holidays,17:54,17:55,17:57,17:59,18:01,18:02,18:03,18:04,18:06
235,Sundays and Public Holidays,18:24,18:25,18:27,18:29,18:31,18:32,18:33,18:34,18:36
235,Sundays and Public Holidays,18:54,18:55,18:57,18:59,19:01,19:02,19:03,19:04,19:06
235,Sundays and Public Holidays,19:24,19:25,19:27,19:29,19:31,19:32,19:33,19:34,19:36
235,Sundays and Public Holidays,19:54,19:55,19:57,19:59,20:01,20:02,20:03,20:04,20:06
235,Sundays and Public Holidays,20:24,20:25,20:27,20:29,20:31,20:32,20:33,20:34,20:36
235,Sundays and Public Holidays,20:54,20:55,20:57,20:59,21:01,21:02,21:03,21:04,21:06
