route_number,day_type,Civic Centre,Sesame,Highlands,Marguerite,Morgenster,Kerrem,Buick,Mitchells Plain,Imperial,Figaro,Bontebok,Spine,Tafelsig Primary,Langeberg,Ruwenzori,Paulsberg,Dolomites East,Snowdon,Dolomites West,Kapteinsklip
D04,Saturdays,10:30,11:13,11:14,11:15,11:16,11:17,11:18,11:19,11:20,11:21,11:22,11:24,11:25,11:27,11:28,11:29,11:30,11:31,11:32,11:34
D04,Saturdays,11:12,11:55,11:56,11:57,11:58,11:59,12:00,12:01,12:02,12:03,12:04,12:06,12:07,12:09,12:10,12:11,12:12,12:13,12:14,12:16
D04,Saturdays,11:54,12:37,12:38,12:39,12:40,12:41,12:42,12:43,12:44,12:45,12:46,12:48,12:49,12:51,12:52,12:53,12:54,12:55,12:56,12:58
D04,Saturdays,12:36,13:19,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:30,13:31,13:33,13:34,13:35,13:36,13:37,13:38,13:40
D04,Saturdays,13:18,14:01,14:02,14:03,14:04,14:05,14:06,14:07,14:08,14:09,14:10,14:12,14:13,14:15,14:16,14:17,14:18,14:19,14:20,14:22
D04,Saturdays,14:00,14:43,14:44,14:45,14:46,14:47,14:48,14:49,14:50,14:51,14:52,14:54,14:55,14:57,14:58,14:59,15:00,15:01,15:02,15:04
D04,Saturdays,14:42,15:25,15:26,15:27,15:28,15:29,15:30,15:31,15:32,15:33,15:34,15:36,15:37,15:39,15:40,15:41,15:42,15:43,15:44,15:46
D04,Saturdays,15:24,16:07,16:08,16:09,16:10,16:11,16:12,16:13,16:14,16:15,16:16,16:18,16:19,16:21,16:22,16:23,16:24,16:25,16:26,16:28
D04,Saturdays,16:06,16:49,16:50,16:51,16:52,16:53,16:54,16:55,16:56,16:57,16:58,17:00,17:01,17:03,17:04,17:05,17:06,17:07,17:08,17:10
D04,Saturdays,16:48,17:31,17:32,17:33,17:34,17:35,17:36,17:37,17:38,17:39,17:40,17:42,17:43,17:45,17:46,17:47,17:48,17:49,17:50,17:52
D04,Saturdays,17:30,18:13,18:14,18:15,18:16,18:17,18:18,18:19,18:20,18:21,18:22,18:24,18:25,18:27,18:28,18:29,18:30,18:31,18:32,18:34
D04,Saturdays,18:12,18:55,18:56,18:57,18:58,18:59,19:00,19:01,19:02,19:03,19:04,19:06,19:07,19:09,19:10,19:11,19:12,19:13,19:14,19:16
D04,Saturdays,18:54,19:37,19:38,19:39,19:40,19:41,19:42,19:43,19:44,19:45,19:46,19:48,19:49,19:51,19:52,19:53,19:54,19:55,19:56,19:58
D04,Saturdays,19:36,20:19,20:20,20:21,20:22,20:23,20:24,20:25,20:26,20:27,20:28,20:30,20:31,20:33,20:34,20:35,20:36,20:37,20:38,20:40
D04,Saturdays,20:18,21:01,21:02,21:03,21:04,21:05,21:06,21:07,21:08,21:09,21:10,21:12,21:13,21:15,21:16,21:17,21:18,21:19,21:20,21:22
D04,Saturdays,21:00,21:43,21:44,21:45,21:46,21:47,21:48,21:49,21:50,21:51,21:52,21:54,21:55,21:57,21:58,21:59,22:00,22:01,22:02,22:04
D04,Saturdays,21:42,22:25,22:26,22:27,22:28,22:29,22:30,22:31,22:32,22:33,22:34,22:36,22:37,22:39,22:40,22:41,22:42,22:43,22:44,22:46
D04,Saturdays,22:24,23:07,23:08,23:09,23:10,23:11,23:12,23:13,23:14,23:15,23:16,23:18,23:19,23:21,23:22,23:23,23:24,23:25,23:26,23:28
D04,Sundays and Public Holidays,05:36,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:30,06:31,06:33,06:34,06:35,06:36,06:37,06:38,06:40
D04,Sundays and Public Holidays,06:18,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:12,07:13,07:15,07:16,07:17,07:18,07:19,07:20,07:22
D04,Sundays and Public Holidays,07:00,07:43,07:44,07:45,07:46,07:47,07:48,07:49,07:50,07:51,07:52,07:54,07:55,07:57,07:58,07:59,08:00,08:01,08:02,08:04
D04,Sundays and Public Holidays,07:42,08:25,08:26,08:27,08:28,08:29,08:30,08:31,08:32,08:33,08:34,08:36,08:37,08:39,08:40,08:41,08:42,08:43,08:44,08:46
D04,Sundays and Public Holidays,08:24,09:07,09:08,09:09,09:10,09:11,09:12,09:13,09:14,09:15,09:16,09:18,09:19,09:21,09:22,09:23,09:24,09:25,09:26,09:28
D04,Sundays and Public Holidays,09:06,09:49,09:50,09:51,09:52,09:53,09:54,09:55,09:56,09:57,09:58,10:00,10:01,10:03,10:04,10:05,10:06,10:07,10:08,10:10
D04,Sundays and Public Holidays,09:48,10:31,10:32,10:33,10:34,10:35,10:36,10:37,10:38,10:39,10:40,10:42,10:43,10:45,10:46,10:47,10:48,10:49,10:50,10:52
D04,Sundays and Public Holidays,10:30,11:13,11:14,11:15,11:16,11:17,11:18,11:19,11:20,11:21,11:22,11:24,11:25,11:27,11:28,11:29,11:30,11:31,11:32,11:34
D04,Sundays and Public Holidays,11:12,11:55,11:56,11:57,11:58,11:59,12:00,12:01,12:02,12:03,12:04,12:06,12:07,12:09,12:10,12:11,12:12,12:13,12:14,12:16
D04,Sundays and Public Holidays,11:54,12:37,12:38,12:39,12:40,12:41,12:42,12:43,12:44,12:45,12:46,12:48,12:49,12:51,12:52,12:53,12:54,12:55,12:56,12:58
D04,Sundays and Public Holidays,12:36,13:19,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:30,13:31,13:33,13:34,13:35,13:36,13:37,13:38,13:40
D04,Sundays and Public Holidays,13:18,14:01,14:02,14:03,14:04,14:05,14:06,14:07,14:08,14:09,14:10,14:12,14:13,14:15,14:16,14:17,14:18,14:19,14:20,14:22
D04,Sundays and Public Holidays,14:00,14:43,14:44,14:45,14:46,14:47,14:48,14:49,14:50,14:51,14:52,14:54,14:55,14:57,14:58,14:59,15:00,15:01,15:02,15:04
D04,Sundays and Public Holidays,14:42,15:25,15:26,15:27,15:28,15:29,15:30,15:31,15:32,15:33,15:34,15:36,15:37,15:39,15:40,15:41,15:42,15:43,15:44,15:46
D04,Sundays and Public Holidays,15:24,16:07,16:08,16:09,16:10,16:11,16:12,16:13,16:14,16:15,16:16,16:18,16:19,16:21,16:22,16:23,16:24,16:25,16:26,16:28
D04,Sundays and Public Holidays,16:06,16:49,16:50,16:51,16:52,16:53,16:54,16:55,16:56,16:57,16:58,17:00,17:01,17:03,17:04,17:05,17:06,17:07,17:08,17:10
D04,Sundays and Public Holidays,16:48,17:31,17:32,17:33,17:34,17:35,17:36,17:37,17:38,17:39,17:40,17:42,17:43,17:45,17:46,17:47,17:48,17:49,17:50,17:52
D04,Sundays and Public Holidays,17:30,18:13,18:14,18:15,18:16,18:17,18:18,18:19,18:20,18:21,18:22,18:24,18:25,18:27,18:28,18:29,18:30,18:31,18:32,18:34
D04,Sundays and Public Holidays,18:12,18:55,18:56,18:57,18:58,18:59,19:00,19:01,19:02,19:03,19:04,19:06,19:07,19:09,19:10,19:11,19:12,19:13,19:14,19:16
D04,Sundays and Public Holidays,18:54,19:37,19:38,19:39,19:40,19:41,19:42,19:43,19:44,19:45,19:46,19:48,19:49,19:51,19:52,19:53,19:54,19:55,19:56,19:58
D04,Sundays and Public Holidays,19:36,20:19,20:20,20:21,20:22,20:23,20:24,20:25,20:26,20:27,20:28,20:30,20:31,20:33,20:34,20:35,20:36,20:37,20:38,20:40
D04,Sundays and Public Holidays,20:18,21:01,21:02,21:03,21:04,21:05,21:06,21:07,21:08,21:09,21:10,21:12,21:13,21:15,21:16,21:17,21:18,21:19,21:20,21:22
D04,Sundays and Public Holidays,21:00,21:43,21:44,21:45,21:46,21:47,21:48,21:49,21:50,21:51,21:52,21:54,21:55,21:57,21:58,21:59,22:00,22:01,22:02,22:04
D04,Sundays and Public Holidays,21:42,22:25,22:26,22:27,22:28,22:29,22:30,22:31,22:32,22:33,22:34,22:36,22:37,22:39,22:40,22:41,22:42,22:43,22:44,22:46
D04,Sundays and Public Holidays,22:24,23:07,23:08,23:09,23:10,23:11,23:12,23:13,23:14,23:15,23:16,23:18,23:19,23:21,23:22,23:23,23:24,23:25,23:26,23:28
