route_number,day_type,Milnerton Lighthouse,Loxton West,Mansfield,Quest,Corsair,Democracy South,Sanddrift,Century City,Oasis,Central Park,Waterstone,Studio,Estuaries,Century Gate,Emerald,Soldier,Sailors Green,Victoria
262,Saturdays,16:47,16:48,16:49,16:50,16:51,16:52,16:53,16:54,16:55,16:56,16:57,16:58,16:59,17:00,17:07,17:08,17:09,17:11
262,Saturdays,17:35,17:36,17:37,17:38,17:39,17:40,17:41,17:42,17:43,17:44,17:45,17:46,17:47,17:48,17:55,17:56,17:57,17:59
262,Saturdays,18:23,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:31,18:32,18:33,18:34,18:35,18:36,18:43,18:44,18:45,18:47
262,Saturdays,19:11,19:12,19:13,19:14,19:15,19:16,19:17,19:18,19:19,19:20,19:21,19:22,19:23,19:24,19:31,19:32,19:33,19:35
262,Saturdays,19:59,20:00,20:01,20:02,20:03,20:04,20:05,20:06,20:07,20:08,20:09,20:10,20:11,20:12,20:19,20:20,20:21,20:23
262,Sundays and Public Holidays,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:43,06:44,06:45,06:47
262,Sundays and Public Holidays,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:31,07:32,07:33,07:35
262,Sundays and Public Holidays,07:59,08:00,08:01,08:02,08:03,08:04,08:05,08:06,08:07,08:08,08:09,08:10,08:11,08:12,08:19,08:20,08:21,08:23
262,Sundays and Public Holidays,08:47,08:48,08:49,08:50,08:51,08:52,08:53,08:54,08:55,08:56,08:57,08:58,08:59,09:00,09:07,09:08,09:09,09:11
262,Sundays and Public Holidays,09:35,09:36,09:37,09:38,09:39,09:40,09:41,09:42,09:43,09:44,09:45,09:46,09:47,09:48,09:55,09:56,09:57,09:59
262,Sundays and Public Holidays,10:23,10:24,10:25,10:26,10:27,10:28,10:29,10:30,10:31,10:32,10:33,10:34,10:35,10:36,10:43,10:44,10:45,10:47
262,Sundays and Public Holidays,11:11,11:12,11:13,11:14,11:15,11:16,11:17,11:18,11:19,11:20,11:21,11:22,11:23,11:24,11:31,11:32,11:33,11:35
262,Sundays and Public Holidays,11:59,12:00,12:01,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:09,12:10,12:11,12:12,12:19,12:20,12:21,12:23
262,Sundays and Public Holidays,12:47,12:48,12:49,12:50,12:51,12:52,12:53,12:54,12:55,12:56,12:57,12:58,12:59,13:00,13:07,13:08,13:09,13:11
262,Sundays and Public Holidays,13:35,13:36,13:37,13:38,13:39,13:40,13:41,13:42,13:43,13:44,13:45,13:46,13:47,13:48,13:55,13:56,13:57,13:59
262,Sundays and Public Holidays,14:23,14:24,14:25,14:26,14:27,14:28,14:29,14:30,14:31,14:32,14:33,14:34,14:35,14:36,14:43,14:44,14:45,14:47
262,Sundays and Public Holidays,15:11,15:12,15:13,15:14,15:15,15:16,15:17,15:18,15:19,15:20,15:21,15:22,15:23,15:24,15:31,15:32,15:33,15:35
262,Sundays and Public Holidays,15:59,16:00,16:01,16:02,16:03,16:04,16:05,16:06,16:07,16:08,16:09,16:10,16:11,16:12,16:19,16:20,16:21,16:23
262,Sundays and Public Holidays,16:47,16:48,16:49,16:50,16:51,16:52,16:53,16:54,16:55,16:56,16:57,16:58,16:59,17:00,17:07,17:08,17:09,17:11
262,Sundays and Public Holidays,17:35,17:36,17:37,17:38,17:39,17:40,17:41,17:42,17:43,17:44,17:45,17:46,17:47,17:48,17:55,17:56,17:57,17:59
262,Sundays and Public Holidays,18:23,18:24,18:25,18:26,18:27,18:28,18:29,18:30,18:31,18:32,18:33,18:34,18:35,18:36,18:43,18:44,18:45,18:47
262,Sundays and Public Holidays,19:11,19:12,19:13,19:14,19:15,19:16,19:17,19:18,19:19,19:20,19:21,19:22,19:23,19:24,19:31,19:32,19:33,19:35
262,Sundays and Public Holidays,19:59,20:00,20:01,20:02,20:03,20:04,20:05,20:06,20:07,20:08,20:09,20:10,20:11,20:12,20:19,20:20,20:21,20:23
