route_number,day_type,Stables Turnaround,Sandown East,Discovery,Morningfield,Dartford,Parklands Main North,Chippenham,Dorchester,Oakdale,Parklands Main,Hampstead,St Johns Wood,Parklands Main South,Echium,Table View,Racecourse,Woodbridge,Woodstock,Civic Centre,Thibault Square,Stadium,Granger Bay,Waterfront
D05,Mondays to Fridays,05:50,05:56,05:58,05:59,06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:16,06:27,06:31,06:45,06:51,06:55,07:00,07:02,07:06
D05,Mondays to Fridays,06:06,06:12,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:32,06:39,06:43,06:57,07:03,07:07,07:12,07:14,07:18
D05,Mondays to Fridays,06:22,06:28,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:48,06:57,07:01,07:15,07:21,07:25,07:30,07:32,07:36
D05,Mondays to Fridays,06:26,06:32,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:52,07:01,07:05,07:19,07:25,07:29,07:34,07:36,07:40
D05,Mondays to Fridays,06:30,06:36,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:56,07:03,07:07,07:21,07:27,07:31,07:36,07:38,07:42
D05,Mondays to Fridays,06:34,06:40,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,07:00,07:09,07:13,07:27,07:33,07:37,07:42,07:44,07:48
D05,Mondays to Fridays,06:38,06:44,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,07:04,07:14,07:18,07:32,07:38,07:42,07:47,07:49,07:53
D05,Mondays to Fridays,06:46,06:52,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:12,07:21,07:25,07:39,07:45,07:49,07:54,07:56,08:00
