stop_name,Latitude,Longitude,Address
NDABENI,-33.928238,18.49542,"Inyoni Street, Ndabeni, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
NETREG,-33.952749,18.563571,"Netreg, Ranunculus Street, Kalksteenfontein, Cape Town Ward 31, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
NEWLANDS,-33.974194,18.46761,"Newlands, Sport Pienaar Road, South African Breweries, Newlands, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
NOLUNGILE,-34.016939,18.648924,"Nolungile, Japhta K. Masemola Road, Cape Town Ward 90, Khayelitsha, City of Cape Town, Western Cape, 7783, South Africa"
NONKQUBELA,-34.026783,18.663078,"Nonkqubela, Aliam Drive, Victoria Mxenge (Site B), Cape Town Ward 91, Khayelitsha, City of Cape Town, Western Cape, 7783, South Africa"
NYANGA,-33.993111,18.559914,"Nyanga, Duinefontein Road, Cape Town Ward 42, City of Cape Town, Western Cape, 7579, South Africa"
OBSERVATORY,-33.937882,18.471405,"Observatory, Herman Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
OOSTERZEE,-33.899941,18.607073,"Oosterzee, Oxford Crescent, Bremerhof, Cape Town Ward 10, Parow, City of Cape Town, Western Cape, 7499, South Africa"
OTTERY,-34.013462,18.495211,"Ottery, Panton Road, Fairways, Ottery, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
PAROW,-33.909575,18.586203,"Parow, Cloete Road, Cape Town Ward 26, Parow, City of Cape Town, Western Cape, 7501, South Africa"
PENTECH,-33.934832,18.645965,"Pentech, Armstrong Road, Cape Town Ward 12, City of Cape Town, Western Cape, 7532, South Africa"
PHILIPPI,-34.013361,18.585385,"Philippi, Zongothi Street, Cape Town Ward 34, City of Cape Town, Western Cape, 7750, South Africa"
PINELANDS,-33.940121,18.490662,"Pinelands, Alexandra Road, Pinelands, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
PLUMSTEAD,-34.022033,18.469739,"Plumstead, Kenneth Road, Deurdrif, Cape Town Ward 73, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
RETREAT,-34.059839,18.462936,"Retreat, Retreat East Rank, Square Hill, Cape Town Ward 72, City of Cape Town, Western Cape, 7945, South Africa"
RONDEBOSCH,-33.962161,18.472369,"Rondebosch, Station Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
ROSEBANK,-33.954724,18.473143,"Rosebank, Guildford Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
SAREPTA,-33.926513,18.661384,"Sarepta, Sacks Circle, Glenhaven, Cape Town Ward 9, Bellville, City of Cape Town, Western Cape, 7532, South Africa"
SOMERSET WEST,-34.084224,18.841436,"Somerset West, De Beers Avenue, Silvertas, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7136, South Africa"
SOUTHFIELD,-34.032969,18.481599,"Southfield, Alduwa Road, Cape Town Ward 72, City of Cape Town, Western Cape, 7800, South Africa"
ST JAMES,-34.119311,18.45842,"St James, Main Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7990, South Africa"
STEENBERG,-34.0773214,18.4636427,"Steenberg, Henley Road, Cape Town Ward 68, City of Cape Town, Western Cape, 7945, South Africa"
STEURHOF,-34.028836,18.468908,"Steurhof, Prince Avenue, Dieprivier, Cape Town Ward 73, City of Cape Town, Western Cape, 7800, South Africa"
STIKLAND,-33.9038231,18.658098,"Stikland, Francis Road, Shirley Park, Cape Town Ward 3, Bellville, City of Cape Town, Western Cape, 7532, South Africa"
STRAND,-34.115026,18.832457,"Strand, Main Road, Park Estates, Cape Town Ward 83, Strand, City of Cape Town, Western Cape, 7140, South Africa"
THORNTON,-33.918905,18.532447,"Thornton, Forest Drive, Cape Town Ward 53, City of Cape Town, Western Cape, 7535, South Africa"
TYGERBERG,-33.907388,18.601514,"Tygerberg, Parow Centre Parking, Cape Town Ward 10, Parow, City of Cape Town, Western Cape, 7501, South Africa"
UNIBELL,-33.937044,18.62858,"Unibell, University Avenue, Cape Town Ward 9, Bellville, City of Cape Town, Western Cape, 7493, South Africa"
VAN DER STEL,MISSING,MISSING,MISSING
VASCO,-33.911215,18.558429,"Vasco, Voortrekker Road, Vasco, Goodwood, Parow, City of Cape Town, Western Cape, 7460, South Africa"
WETTON,-34.001906,18.501037,"Wetton, Wetton Road, Cape Town Ward 63, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
WITTEBOME,-34.014044,18.470709,"Wittebome, Castletown Road, Wynberg, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
WOODSTOCK,-33.925483,18.445608,"Woodstock, Davison Road, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
WYNBERG,-34.004856,18.471217,"Wynberg, Broad Road, Wynberg, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
YSTERPLAAT,-33.919921,18.476845,"Ysterplaat, FW de Klerk Boulevard, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
AKASIA PARK,MISSING,MISSING,MISSING
CAPE TOWN,-33.922422,18.426352,"Cape Town Station, 1, Adderley Street, Foreshore, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 8000, South Africa"
CENTURY CITY,-33.9008749,18.5123408,"Century City, Sable Road, Acacia Park, Goodwood, Milnerton, City of Cape Town, Western Cape, 7446, South Africa"
CHRIS HANI,-34.047143,18.705806,"Chris Hani Secondary School, 2, Cekeca Road, Umrhabulo Triangle (Makhaza), Cape Town Ward 96, City of Cape Town, Western Cape, 7784, South Africa"
DAL JOSAFAT,-33.703437,19.001629,"Bo-dal Josafat, Greenside, Drakenstein Ward 32, Paarl, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7620, South Africa"
DU TOIT,-33.925189,18.697828,"Alta du Toit Skool, 37, Piet Fransman Street, Amandelrug, Cape Town Ward 11, Kuilsrivier, City of Cape Town, Western Cape, 7580, South Africa"
ESPLANADE,-33.923843,18.445332,"Esplanade, Forgate Street, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
FALSE BAY,-34.1031394,18.4689498,"False Bay, Albertyn Road, Marina Da Gama, Cape Town Ward 64, City of Cape Town, Western Cape, 7945, South Africa"
FISH HOEK,-34.137645,18.424672,"False Bay College (Fish Hoek Campus), De Waal Road, Risiview, Cape Town Ward 64, Fish Hoek, City of Cape Town, Western Cape, 7975, South Africa"
GOODWOOD,-33.910911,18.552361,"PEP, Gertrude Street, Goodwood Estate, Cape Town Ward 27, Cape Town, City of Cape Town, Western Cape, 7460, South Africa"
HUGUENOT,-33.943231,18.414671,"Huguenot Avenue, Cape Town Ward 77, Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
KENTEMADE,-33.913007,18.497762,"Kentemade, 12th Street, Kensington, Cape Town Ward 56, Cape Town, City of Cape Town, Western Cape, 7425, South Africa"
KLAPMUTS,-33.806312,18.869738,"Klapmuts, Beyers, Stellenbosch Ward 18, Klapmuts, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7625, South Africa"
KOELENHOF,-34.050027,18.602795,"Koelenhof Close, Westridge, Cape Town Ward 78, Mitchells Plain, City of Cape Town, Western Cape, 7798, South Africa"
KUILS RIVER,-33.9336442,18.6775659,"Kuils River, Station Street, De Kuilen, Cape Town Ward 11, Kuilsrivier, City of Cape Town, Western Cape, 7580, South Africa"
KUYASA,-34.0603,18.688695,"Welcome Zenzile Street, Kuyasa, Cape Town Ward 97, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa"
LYNEDOCH,-34.049179,18.603072,"Lynedoch Court, Westridge, Cape Town Ward 78, Mitchells Plain, City of Cape Town, Western Cape, 7798, South Africa"
MBEKWENI,-34.012505,18.638541,"Mbekweni Street, Mxolisi Phetani (Site C), Cape Town Ward 18, City of Cape Town, Western Cape, 7783, South Africa"
MELTON ROSE,-33.989556,18.720553,"Melton Rose, Melton Road, Palm Park, Cape Town Ward 17, Eersterivier, City of Cape Town, Western Cape, 7129, South Africa"
MITCHELLS PL,-34.050556,18.618056,"Etosha Way, Eastridge, Cape Town Ward 79, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
MULDERSVLEI,-33.831116,18.828006,"Muldersvlei, R101, Stellenbosch Ward 19, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7607, South Africa"
PAARL,MISSING,MISSING,MISSING
SALT RIVER,-33.931701,18.461006,"67, Burns Road, Salt River, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
SIMONS TOWN,-34.193181,18.433266,"Jubilee Square, Saint George's Street, Seaforth, Cape Town Ward 61, Simon's Town, City of Cape Town, Western Cape, 7995, South Africa"
STELLENBOSCH,-33.884268,18.6273,"Stellenbosch Business School, Hume Street, Cape Town Ward 70, Bellville, City of Cape Town, Western Cape, 7530, South Africa"
STOCK ROAD,-34.009218,18.606137,"Stock Road, Cape Town Ward 88, City of Cape Town, Western Cape, 7789, South Africa"
SUNNY COVE,-34.144301,18.437119,"Sunny Cove, Simonstown Road, Cape Town Ward 64, Fish Hoek, City of Cape Town, Western Cape, 7974, South Africa"
VLOTTENBURG,-33.962044,18.799883,"Vlottenburg, Baden Powell Drive, Stellenbosch Ward 11, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7604, South Africa"
WELLINGTON,-34.012101,18.465959,"Wellington Avenue, Cape Town Ward 62, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
WOLTEMADE,-33.922281,18.507538,"Woltemade, Jan Smuts Drive, Ndabeni, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
