day_type,HARARE,MAKHAZA
Fridays,14:15,14:30
Fridays,16:40,16:50
PublicHolidays,15:45,16:00
PublicHolidays,16:00,16:30
Saturdays,11:00,11:30
Sundays,10:20,10:30
Sundays,16:15,16:30
