day_type,A.D.E.,ALVINCO,KILLARNEY GARDENS,KILLARNEY,CENTURY CITY,HANOVER PARK,ROCKLANDS,TOWN CENTRE,STRANDFONTEIN VILL
Fridays,14:00,13:00,,,,15:05,,via,16:00
Mondays_to_Thursdays,16:45,16:35,,,,17:50,,via,18:20
MondaysToFridays,,,17:00,17:05,,,via,,18:30
MondaysToFridays,,,,,21:30,,,,22:30
