day_type,EPPING IND,GUNNERS CIRCLE,BOFORS CIRCLE,N7 FREEWAY,MONTAGUE GARDENS,KILLARNEY,ATLANTIS,PELLA,MAMRE,MAMRE (PARADISE RD),CHATSWORTH
Fridays,15:15,via,via,via,,,via,16:25,via,16:35,
Fridays,15:15,,,via,via,16:20,,,,,17:30
Mondays_to_Thursdays,17:00,via,via,via,,,via,18:00,via,18:10,
Mondays_to_Thursdays,17:00,,,via,via,18:05,,,,,19:15
