day_type,PROMENADE,BEACON VALLEY,TOWN CENTRE
MondaysToFridays,,05:00,05:10
MondaysToFridays,,05:15,05:40
MondaysToFridays,,05:25,05:45
MondaysToFridays,,05:35,05:45
MondaysToFridays,,06:25,06:35
MondaysToFridays,09:00,,
PublicHolidays,,07:00,07:20
PublicHolidays,,14:40,15:00
PublicHolidays,,15:50,16:30
