day_type,EPPING IND,NEWFIELDS,HANOVER PARK
Fridays,15:00,,16:30
Fridays,15:55,via,16:40
Mondays_to_Thursdays,15:55,via,16:40
Mondays_to_Thursdays,16:30,via,18:05
