day_type,BLAAUWBERG RIDGE,DU NOON,KILLARNEY GARDENS,KILLARNEY,MILNERTON,MONTAGUE GARDENS,CAMBRIDGE,KOEBERG RD,VOORTREKKER RD,SALT RIVER MARKET,CAPE TOWN,BLAAUWBERG
Fridays,,,07:55,08:05,,,,,,,,
Fridays,15:30,via,,17:05,,,,,,,,
MondaysToFridays,,,,07:30,,via,via,via,via,via,08:35,
Mondays_to_Thursdays,,,07:55,08:05,,,,,,,,
Mondays_to_Thursdays,15:30,via,,16:30,,,,,,,,
Mondays_to_Thursdays,16:20,via,,17:00,,,,,,,,
PublicHolidays,,,,08:40,,,,,,,,08:30
Saturdays,,,,08:10,via,,via,via,via,via,09:00,
