day_type,HANOVER PARK,SACKS CIRCLE,BELLVILLE,TYGER VALLEY CENTRE
MondaysToFridays,05:50,via,07:10,
MondaysToFridays,06:30,via,07:20,08:15
Saturdays,08:10,,09:00,
