day_type,STRANDFONTEIN VILL,TOWN CENTRE,HANOVER PARK,KILLARNEY GARDENS,KILLARNEY,A.D.E.,ATLANTIS
MondaysToFridays,04:40,04:55,05:20,,,06:50,
MondaysToFridays,05:15,,,07:20,via,,
PublicHolidays,,05:40,06:15,,06:55,,07:40
