day_type,TOWN CENTRE,SITE C,SOMERSET WEST,SOMERSET MALL
MondaysToFridays,05:45,06:15,07:05,07:40
MondaysToFridays,06:10,06:35,via,07:30
MondaysToFridays,06:30,07:00,07:30,07:55
PublicHolidays,06:30,06:55,via,08:00
Saturdays,06:30,06:55,via,07:50
