day_type,KILLARNEY,MONTAGUE GARDENS,JAKES GERWEL DRV,KLIPFONTEIN RD,MOWBRAY
Fridays,16:20,via,via,via,17:20
Mondays_to_Thursdays,16:35,via,via,via,17:30
