day_type,MAKHAZA,J BLOCK,MAKHAYA,VILLAGE 3,HARARE,ELITHA PARK,SITE C,OTTERY HYPERMARKET,PLUMSTEAD,BAMBOESVLEI RD,WYNBERG
PublicHolidays,,,,,,,07:30,,,,09:00
PublicHolidays,,,,,07:30,,07:55,,,,08:30
PublicHolidays,08:00,,,08:25,,,08:30,,,,09:00
PublicHolidays,,,,,08:30,,08:55,,,,09:30
PublicHolidays,09:00,,,09:25,,,09:30,,,,10:00
PublicHolidays,,,,,09:30,,09:55,,,,10:30
PublicHolidays,11:00,,,11:25,,,11:30,,,,12:00
PublicHolidays,,,,,12:30,,12:55,,,,13:30
PublicHolidays,13:00,,,13:25,,,13:30,,,,14:00
PublicHolidays,,,,,16:30,,16:55,,,,17:30
PublicHolidays,14:00,,,14:25,,,14:30,,,,15:00
PublicHolidays,,,,,14:30,,14:55,,,,15:30
PublicHolidays,15:00,,,15:25,,,15:30,,,,16:00
PublicHolidays,16:00,,,16:25,,,16:30,,,,17:00
PublicHolidays,,,,,05:30,,05:55,,,,06:30
PublicHolidays,,,,,10:30,,10:55,,,,11:30
PublicHolidays,,,,,13:30,,13:55,,,,14:30
PublicHolidays,,,,,17:30,,17:55,,,,18:30
PublicHolidays,17:00,,,17:25,,,17:30,,,,18:00
Saturdays,12:15,,,12:40,,,12:45,,,,13:30
Saturdays,10:15,,,10:40,,,10:45,,,,11:30
Saturdays,,,,,10:00,,10:25,,,,11:15
Saturdays,,,,,09:30,,09:55,,,,10:45
Saturdays,09:30,,,09:55,,,10:00,,,,10:45
Saturdays,08:45,,,09:10,,,09:15,,,,10:15
Saturdays,,,,,08:15,,08:40,,,,09:20
Saturdays,08:15,,,08:40,,,08:45,,,,09:30
Saturdays,,,,,08:00,,08:25,,,,09:15
Saturdays,07:45,,,08:10,,,08:15,,,,09:40
Saturdays,07:15,,,07:40,,,07:45,,,,08:30
Saturdays,,,,,07:00,,07:25,,,,08:15
Saturdays,,,,,06:45,,07:10,,,,08:15
Saturdays,06:45,,,07:10,,,07:15,,,,08:00
Saturdays,,,,,06:30,,06:55,,,,08:00
Saturdays,06:30,,,,via,,via,,07:45,,
Saturdays,,,,,06:15,,06:40,,,,07:20
Saturdays,06:15,,,06:40,,,06:45,,,,07:30
Saturdays,05:45,,,06:10,,,06:15,,,,07:00
Saturdays,10:45,,,11:10,,,11:15,,,,12:00
Saturdays,,,,,11:30,,11:55,,,,13:00
Saturdays,15:45,,,16:10,,,16:15,,,,17:15
Saturdays,,,,,15:30,,15:55,,,,16:45
Saturdays,,,,,12:30,,12:55,,,,13:45
Saturdays,12:45,,,13:10,,,13:15,,,,14:00
Saturdays,,,,,13:30,,13:55,,,,14:45
Saturdays,13:45,,,14:10,,,14:15,,,,15:50
Saturdays,14:15,,,14:40,,,14:45,,,,15:30
Saturdays,14:45,,,15:10,,,15:15,,,,16:30
Saturdays,,,,,15:00,,15:25,,,,16:15
Saturdays,15:15,,,15:40,,,15:45,,,,16:45
Saturdays,11:15,,,11:40,,,11:45,,,,12:20
Saturdays,,,,,16:00,,16:25,,,,17:15
Saturdays,16:15,,,16:40,,,16:45,,,,17:15
Saturdays,,,,,16:30,,16:55,,,,17:30
Saturdays,16:45,,,17:10,,,17:15,,,,17:40
Saturdays,,,,,17:30,,17:55,,,,18:45
Sundays,05:45,,,06:10,,,06:15,,,,06:45
Sundays,,,,,09:15,,09:40,,,,10:45
Sundays,,,,,06:15,,06:40,,,,08:40
Sundays,06:45,,,07:10,,,07:15,,,,07:45
Sundays,,,,,07:15,,07:40,,,,08:15
Sundays,07:45,,,08:10,,,08:15,,,,08:45
Sundays,09:45,,,10:10,,,10:15,,,,10:45
Sundays,,,,,10:15,,10:40,,,,11:15
Sundays,10:45,,,11:10,,,11:15,,,,11:45
Sundays,,,,,11:15,,11:40,,,,12:15
Sundays,11:45,,,12:10,,,12:15,,,,12:45
Sundays,,,,,12:15,,12:40,,,,13:15
Sundays,12:45,,,13:10,,,13:15,,,,14:00
Sundays,,,,,08:15,,08:40,,,,09:30
Sundays,13:45,,,14:10,,,14:15,,,,14:45
Sundays,,,,,14:15,,14:40,,,,15:15
Sundays,14:45,,,15:10,,,15:15,,,,16:05
Sundays,,,,,15:15,,15:40,,,,16:15
Sundays,15:45,,,16:10,,,16:15,,,,16:45
Sundays,,,,,16:15,,16:40,,,,17:35
Sundays,16:45,,,17:10,,,17:15,,,,18:05
Sundays,,,,,17:15,,17:40,,,,18:20
Sundays,17:45,,,18:10,,,18:15,,,,18:45
Sundays,08:45,,,09:10,,,09:15,,,,09:45
Sundays,,,,,13:15,,13:40,,,,14:30
