day_type,DURBANVILLE,BELLVILLE,SACKS CIRCLE,NEWFIELDS,HANOVER PARK
MondaysToFridays,,06:45,via,,07:55
Fridays,,15:30,via,,16:15
Fridays,16:20,17:10,via,via,18:40
MondaysToFridays,,16:40,via,,17:40
Mondays_to_Thursdays,16:45,17:30,via,via,18:30
