day_type,ELSIES RIVER,BISHOP LAVIS,NOOITGEDACHT,BONTEHEUWEL,HANOVER PARK,SUNSET PARK
MondaysToFridays,06:05,via,,via,07:05,07:10
MondaysToFridays,06:25,via,via,via,07:45,
Fridays,07:00,via,via,via,08:45,
Fridays,12:45,via,via,via,13:30,
Fridays,13:45,via,,via,14:30,14:40
Mondays_to_Thursdays,15:30,via,,via,16:15,17:00
Fridays,15:45,via,via,via,16:30,
Fridays,16:25,via,via,via,17:55,
Mondays_to_Thursdays,17:05,via,via,via,18:05,
