day_type,SEA FORTH SCH,DA GAMA PARK,GLENCAIRN HEIGHTS,OU KAAPSE WEG,SUN VALLEY,OCEAN VIEW
Fridays,14:00,14:40,,,,
Tuesdays_to_Fridays,14:15,14:40,,,,
MondaysToFridays,14:20,,,via,,15:00
MondaysToFridays,15:30,via,via,,via,16:15
