day_type,TEMPERANCE TOWN,LWANDLE,STRAND,SOMERSET WEST,FIRGROVE,MACASSAR,SOMERSET MALL
Fridays,,,16:00,16:15,via,16:45,
Fridays,16:40,,17:00,17:20,,17:30,
Mondays_to_Thursdays,,15:15,,15:30,,,
Mondays_to_Thursdays,,,16:00,16:15,via,16:45,
PublicHolidays,,,,11:00,via,12:00,via
