day_type,WYNBERG,OTTERY,BAMBOESVLEI RD,HANOVER PARK,JAKES GERWEL DRV,BONTEHEUWEL
Fridays,16:10,via,via,via,via,17:05
Mondays_to_Thursdays,17:10,via,via,via,via,17:55
