day_type,POLKADRAAI,KUILS RIVER TERM,KUILS RIVER,SAXENBURG PARK,BLACKHEATH,MFULENI,HARARE,VILLAGE 3,MAKHAZA,SITE C
Fridays,,16:00,,,,16:20,,,,17:00
Fridays,,16:00,via,via,via,via,17:30,,via,
Mondays_to_Thursdays,,16:30,via,via,via,,17:45,,via,
Mondays_to_Thursdays,,17:00,via,via,via,via,18:25,,via,
Mondays_to_Thursdays,,17:05,via,via,via,,,via,,18:10
Fridays,,18:00,via,via,via,via,18:55,,via,
Mondays_to_Thursdays,,18:00,via,via,via,via,19:25,,via,
Saturdays,08:25,09:00,,,,,,,,
