day_type,BONTEHEUWEL,MUTUAL,OUDE MOLEN SCH,KOEBERG STN,NDABENI STN
Mondays_to_Thursdays,06:00,,,08:00,
Fridays,06:00,,,07:00,
Fridays,06:10,,,07:10,
Mondays_to_Thursdays,06:10,,,07:30,
Mondays_to_Thursdays,06:20,,,07:20,
Fridays,06:20,,,07:20,
MondaysToFridays,06:50,via,via,,08:30
Saturdays,06:45,,,07:45,
