day_type,TOWN CENTRE,BEACON VALLEY,TAFELSIG,ROCKLANDS,KOEBERG STN
MondaysToFridays,,05:15,,,06:15
MondaysToFridays,05:20,,,,06:40
MondaysToFridays,,,,05:20,06:30
MondaysToFridays,05:25,,,,06:30
MondaysToFridays,,,05:25,,07:30
MondaysToFridays,05:30,,,,06:55
MondaysToFridays,,,05:30,,06:50
MondaysToFridays,05:35,,,,06:50
Mondays_to_Thursdays,15:50,,,,17:00
Saturdays,,06:00,,,07:30
