day_type,AIRPORT IND 1,SITE C,HARARE,MAKHAZA
MondaysToFridays,07:50,08:20,09:00,
Mondays_to_Thursdays,16:00,16:30,18:05,
Fridays,16:00,16:30,17:20,
Mondays_to_Thursdays,17:00,17:30,18:40,
MondaysToFridays,17:00,17:40,,18:00
