day_type,TYGERBERG HOSP,RAVENSMEAD,OVERDALE,ELSIES RIVER,KILLARNEY,MONTAGUE GARDENS,KILLARNEY GARDENS
Fridays,05:40,via,via,06:10,06:40,via,06:50
Mondays_to_Thursdays,05:40,via,via,06:10,06:50,via,07:15
MondaysToFridays,06:25,via,via,07:00,07:40,via,08:00
