day_type,HOUT BAY HARBOUR,HOUT BAY BEACH,WYNBERG,PHILIPPI EAST SAP
Fridays,,,13:30,14:10
MondaysToFridays,,,14:35,15:15
Mondays_to_Thursdays,,,15:20,16:10
Mondays_to_Thursdays,,,16:30,17:05
Fridays,17:00,via,,18:40
Fridays,,,17:35,18:25
Mondays_to_Thursdays,,,17:35,18:25
