day_type,PHILIPPI EAST SAP,NYANGA TERM,SACKS CIRCLE,KASSELSVLEI RD,BELLVILLE,TYGER VALLEY CENTRE,DURBANVILLE
Fridays,09:00,09:15,,,09:45,10:10,
MondaysToFridays,05:15,05:25,,,06:25,,06:40
MondaysToFridays,05:35,,via,via,06:30,,
MondaysToFridays,05:45,05:55,,,06:55,,07:25
MondaysToFridays,05:55,,via,via,06:50,,
MondaysToFridays,08:10,08:20,,,09:20,,09:20
Mondays_to_Thursdays,09:00,09:15,,,09:45,10:05,
PublicHolidays,07:30,07:40,,,08:40,,08:30
Saturdays,06:30,07:00,via,via,07:40,,
