day_type,MAKHAZA,HARARE,SITE C,NYANGA TERM,AIRPORT IND 1,AIRPORT IND 2
MondaysToFridays,05:50,,via,,07:00,
MondaysToFridays,,06:25,06:40,,07:40,
MondaysToFridays,06:35,,via,,08:00,
Saturdays,06:20,,via,07:05,08:00,via
