day_type,FISH HOEK SCH,NOORDHOEK,OCEAN VIEW,KOMMETJIE
MondaysToFridays,13:10,via,14:00,
Tuesdays_to_Fridays,14:45,,via,15:15
Tuesdays_to_Fridays,14:50,15:30,,
