day_type,KILLARNEY,BLAAUWBERG RIDGE
MondaysToFridays,06:30,07:00
MondaysToFridays,06:45,07:15
MondaysToFridays,07:00,07:50
Fridays,07:15,07:45
Mondays_to_Thursdays,07:15,08:00
MondaysToFridays,07:30,08:00
MondaysToFridays,07:45,08:15
Saturdays,07:30,08:00
