day_type,PHILIPPI EAST SAP,WYNBERG,HOUT BAY BEACH,HOUT BAY HARBOUR
MondaysToFridays,05:25,,via,08:20
MondaysToFridays,05:50,,via,07:00
Fridays,08:10,08:50,,
Mondays_to_Thursdays,08:10,08:50,,
Mondays_to_Thursdays,16:10,17:30,,
