day_type,CAPE TOWN,N1 FREEWAY,VOORTREKKER RD,DURBANVILLE,FISANTEKRAAL,CLARA ANNA FONTEIN
MondaysToFridays,,,,07:30,,08:15
MondaysToFridays,,,,08:20,,08:50
Fridays,15:00,via,,16:20,,
Mondays_to_Thursdays,15:00,via,,16:45,,
Mondays_to_Thursdays,,,,15:30,,16:00
Mondays_to_Thursdays,15:45,via,,17:00,,
Fridays,15:45,via,,17:25,,
MondaysToFridays,16:15,via,via,,18:10,
MondaysToFridays,16:30,via,,17:35,,
Fridays,17:15,via,,18:05,,
Mondays_to_Thursdays,17:15,via,,18:20,,
