day_type,LANGA,LANGA N2 GATEWAY,JAKES GERWEL DRV,BLUEGUM STR,BONTEHEUWEL TERM,BISHOP LAVIS,BELLVILLE,DURBANVILLE
MondaysToFridays,05:40,05:40,via,via,via,via,via,06:45
MondaysToFridays,06:05,06:05,via,via,via,via,via,07:45
MondaysToFridays,06:50,06:50,via,via,via,via,via,08:00
Saturdays,06:00,06:10,via,via,via,via,via,08:00
