day_type,CAPE TOWN,MOWBRAY,KLIPFONTEIN RD,BELGRAVIA RD,NEWFIELDS,MOUNT VIEW,HANOVER PARK
Fridays,17:10,17:35,via,via,,,18:10
MondaysToFridays,16:00,16:20,,,via,,16:45
Mondays_to_Thursdays,16:55,17:15,,,,via,18:00
Mondays_to_Thursdays,17:10,17:35,via,via,,,18:10
PublicHolidays,09:40,10:05,via,via,,,11:00
