day_type,NDABENI,MAITLAND,KOEBERG STN,OUDE MOLEN SCH,BONTEHEUWEL,HEIDEVELD
Fridays,,,,12:40,14:00,
Fridays,via,14:50,15:30,,,
Tuesdays_to_Thursdays,,,,15:20,16:00,
Mondays_to_Thursdays,,,16:35,,via,18:15
Mondays_to_Thursdays,,,16:45,,17:50,
Mondays_to_Thursdays,,,17:00,,17:50,
Fridays,,,17:00,,17:45,
