day_type,BLAAUWBERG RIDGE,PARKLANDS,SUNNINGDALE,KILLARNEY,MONTAGUE GARDENS,CENTURY CITY,LANGA,HANOVER PARK,MANENBERG
Fridays,15:20,via,via,15:50,via,,,,17:00
Fridays,,,,,,22:30,via,23:30,00:01
Mondays_to_Thursdays,16:10,via,via,16:40,via,,,,17:50
Mondays_to_Thursdays,,,,17:20,via,,,,18:20
Mondays_to_Thursdays,,,,,,21:30,via,22:20,22:40
PublicHolidays,,,,,,21:30,via,22:20,23:40
Saturdays,,,,,,21:30,via,22:20,22:40
Sundays,,,,,,21:30,via,22:20,22:40
