day_type,STRAND,SOMERSET WEST,SOUTHEY'S VINES,LORD CHARLES HOTEL,N2 FREEWAY,ADDERLEY STR,LONG STR,SWINDEN - LOOP STR,ARTSCAPE (HERTZOG BL
MondaysToFridays,05:00,05:20,05:30,05:40,via,via,via,06:35,07:00
MondaysToFridays,05:30,05:50,06:00,06:10,via,via,via,07:05,07:30
MondaysToFridays,05:45,06:05,06:15,06:25,via,via,via,07:20,07:25
MondaysToFridays,06:00,06:20,06:30,06:40,via,via,via,07:35,08:05
MondaysToFridays,06:20,06:40,06:50,07:00,via,via,via,07:55,08:30
Saturdays,07:00,07:20,07:30,07:40,via,via,via,08:35,09:00
