day_type,TOWN CENTRE,TAFELSIG,LENTEGEUR HOSP,BEACON VALLEY,KAPTEINSKLIP STN
MondaysToFridays,06:30,06:15,07:05,via,
PublicHolidays,06:30,,06:50,,06:15
