day_type,CHATSWORTH,MAMRE (PARADISE RD),MAMRE,SAXONSEA,ATLANTIS,N7 FREEWAY,KILLARNEY,MONTAGUE GARDENS,JAKES GERWEL DRV,BOFORS CIRCLE,EPPING IND,GUNNERS CIRCLE
MondaysToFridays,05:10,,,,,via,06:00,via,,,07:15,
MondaysToFridays,,05:25,05:30,,05:50,via,,,via,via,06:50,via
MondaysToFridays,,,,05:50,,via,,,,via,07:15,via
