day_type,BELLVILLE,ROBERT SOBUKWE RD,KLIPFONTEIN RD,MOWBRAY
MondaysToFridays,05:55,via,via,07:30
MondaysToFridays,07:00,via,via,08:25
MondaysToFridays,15:30,via,via,16:35
Fridays,16:05,via,via,17:15
Mondays_to_Thursdays,16:05,via,via,17:00
MondaysToFridays,16:45,via,via,18:00
