day_type,BLAAUWBERG RIDGE,PARKLANDS,SUNNINGDALE,KILLARNEY
Fridays,15:00,via,via,17:05
MondaysToFridays,15:40,via,via,16:00
Mondays_to_Thursdays,15:00,via,via,16:30
Mondays_to_Thursdays,15:30,via,via,17:10
PublicHolidays,06:45,,,07:15
Saturdays,07:30,,,08:00
Saturdays,07:40,,,08:10
Saturdays,08:40,,,08:55
