day_type,KOMMETJIE,OCEAN VIEW,SUN VALLEY,SEA FORTH SCH,SEA FORTH,MURDOCH VALLEY
MondaysToFridays,,07:00,,07:45,,
MondaysToFridays,07:05,,07:30,via,08:00,
MondaysToFridays,,,,07:45,,08:00
MondaysToFridays,,15:00,,15:30,,
