day_type,KENILWORTH CENTRE,TURFHALL RD(GATTIS),HANOVER PARK,BEACON VALLEY,TAFELSIG LOST CITY,TOWN CENTRE
Mondays_to_Thursdays,,17:05,17:10,,,18:25
MondaysToFridays,17:05,,17:25,via,18:30,
