day_type,DARLING,MALMESBURY,MAMRE,KOEBERG POWER STN,MELKBOS,KILLARNEY,MONTAGUE GARDENS,CAPE TOWN,A.D.E.
MondaysToFridays,04:35,,,,,05:55,06:05,06:30,
MondaysToFridays,06:05,,,,,,,,07:05
MondaysToFridays,06:10,,via,via,07:45,,,,
Fridays,18:40,,,,,17:40,17:30,17:00,
Saturdays,07:15,08:25,,,,,,,
Saturdays,07:25,08:25,,,,,,,
Saturdays,07:30,08:25,,,,,,,
Saturdays,11:30,12:25,,,,,,,
