day_type,HANOVER PARK,JAKES GERWEL DRV,CENTURY CITY,MONTAGUE GARDENS,KILLARNEY,KILLARNEY GARDENS,DU NOON
MondaysToFridays,06:00,,,via,06:50,,
MondaysToFridays,06:20,,,via,07:05,via,07:30
MondaysToFridays,07:10,via,08:40,,,,
PublicHolidays,07:00,,08:20,,,,
Saturdays,06:00,,,via,06:45,,
Saturdays,07:00,,07:50,,08:15,,
