day_type,TYGERBERG HOSP,PAROW IND,PEPCOR FACTORY,MATROOSFONTEIN,NOOITGEDACHT,BISHOP LAVIS,BONTEHEUWEL
Fridays,15:15,via,15:30,,,via,16:10
Fridays,16:05,,,via,via,16:45,
Mondays_to_Thursdays,16:45,via,17:10,,,via,18:00
PublicHolidays,07:10,,,via,via,07:45,
