day_type,AIRPORT IND 2,AIRPORT IND 1,KLIPFONTEIN RD,BONTEHEUWEL,LANGA,MOWBRAY,CAPE TOWN
Mondays_to_Thursdays,16:00,via,via,via,via,via,17:40
Fridays,16:10,via,via,via,via,via,17:40
Mondays_to_Thursdays,16:35,via,via,via,via,via,18:05
