day_type,CLAREMONT,COLORADO PARK,MONTROSE PARK,MANDALAY,CLOCK TOWER
MondaysToFridays,08:15,,,,06:50
MondaysToFridays,15:00,,via,16:30,
MondaysToFridays,15:30,,via,16:50,
MondaysToFridays,16:30,,via,17:45,
MondaysToFridays,17:15,18:00,18:15,18:30,
