day_type,CLAREMONT,THE HAGUE
Fridays,14:00,15:00
Fridays,17:00,18:10
MondaysToFridays,15:30,16:50
Mondays_to_Thursdays,17:05,18:15
Mondays_to_Thursdays,18:15,19:10
PublicHolidays,08:00,09:20
