day_type,SOMERSET WEST,SOMERSET MALL,LENTEGEUR HOSP,FIRGROVE,SITE C,TOWN CENTRE,CNR R300/EISLEBEN RD
Mondays_to_Thursdays,17:15,17:30,,via,,via,18:15
Fridays,17:15,17:30,,via,,via,18:15
Fridays,18:00,via,,via,,19:00,
Mondays_to_Thursdays,18:00,via,,via,,19:00,
Saturdays,14:00,14:10,,via,via,15:00,
Sundays,15:15,15:30,17:00,,,,
