day_type,MANDALAY,CLAREMONT
MondaysToFridays,05:20,07:15
MondaysToFridays,05:45,07:30
MondaysToFridays,06:30,08:00
PublicHolidays,08:30,09:45
Saturdays,06:00,07:20
Saturdays,07:00,08:10
