day_type,METRO,YSTERPLAAT STN,PAARDEN EILAND,JAKES GERWEL DRV,NEWFIELDS,HANOVER PARK
Fridays,16:15,16:25,via,via,via,18:00
Mondays_to_Thursdays,16:45,16:55,via,via,via,18:15
