day_type,MAKHAZA,ENKANINI,VILLAGE 3,HARARE,SITE C,KENILWORTH CENTRE,CLAREMONT,WYNDOVER,RONDEBOSCH
PublicHolidays,15:50,,16:15,,16:20,,16:50,,
PublicHolidays,,,,16:20,16:45,,17:20,,
PublicHolidays,,,,06:00,06:25,,07:10,,
PublicHolidays,,,,11:20,11:45,,12:20,,
PublicHolidays,05:50,,06:15,,06:20,,06:50,,
PublicHolidays,17:50,,18:15,,18:20,,18:50,,
PublicHolidays,16:50,,17:15,,17:20,,17:50,,
Saturdays,,,,09:00,09:25,,09:50,,
Saturdays,16:45,,17:10,,17:15,,17:40,,
Saturdays,,,,17:00,17:25,,18:15,,
Saturdays,17:15,,17:40,,17:45,,18:30,,
Saturdays,,,,08:45,09:10,,10:00,,
Saturdays,08:45,,09:10,,09:15,,10:00,,
Saturdays,,,,08:30,08:55,,09:45,,
Saturdays,08:15,,08:40,,08:45,,09:30,,
Saturdays,08:00,,08:25,,08:30,,09:40,,
Saturdays,,,,08:00,08:25,,09:20,,
Saturdays,07:45,,08:10,,08:15,,09:00,,
Saturdays,,,,07:30,07:55,,09:00,,
Saturdays,07:15,,07:40,,07:45,,08:50,,
Saturdays,07:00,,07:25,,07:30,,09:00,,
Saturdays,,,,07:00,07:25,,08:10,,
Saturdays,06:45,,07:10,,07:15,,08:00,,
Saturdays,,,,06:30,06:55,,07:45,,
Saturdays,06:15,,06:40,,06:45,,07:30,,
Saturdays,06:00,,06:25,,06:30,,07:40,,
Saturdays,,,,06:00,06:25,,07:15,,
Saturdays,05:45,,06:10,,06:15,,07:00,,
Saturdays,,,,05:30,05:55,,06:45,,
Saturdays,,,,05:00,05:25,,06:15,,
Saturdays,,,16:00,,16:30,,17:20,,
Saturdays,,,,16:00,16:25,,17:30,,
Saturdays,05:15,,05:40,,05:45,,06:30,,
Saturdays,,,,15:30,15:55,,16:50,,
Saturdays,15:45,,16:10,,16:15,,17:00,,
Saturdays,13:45,,14:10,,14:15,,14:50,,
Saturdays,,,,13:30,13:55,,14:45,,
Saturdays,13:15,,13:40,,13:45,,14:45,,
Saturdays,,,,13:00,13:25,,14:25,,
Saturdays,12:45,,13:10,,13:15,,13:50,,
Saturdays,,,,12:30,12:55,,14:15,,
Saturdays,12:15,,12:40,,12:45,,13:30,,
Saturdays,,,,12:00,12:25,,13:15,,
Saturdays,11:45,,12:10,,12:15,,12:50,,
Saturdays,,,,11:30,11:55,,12:45,,
Saturdays,11:15,,11:40,,11:45,,13:00,,
Saturdays,,,,11:00,11:25,,12:15,,
Saturdays,,,,10:45,11:10,,12:15,,
Saturdays,10:45,,11:10,,11:15,,12:00,,
Saturdays,10:15,,10:40,,10:45,,11:30,,
Saturdays,,,,10:00,10:25,,11:15,,
Saturdays,09:45,,10:10,,10:15,,11:00,,
Saturdays,,,,09:30,09:55,,10:45,,
Saturdays,09:15,,09:40,,09:45,,10:30,,
Saturdays,14:15,,14:40,,14:45,,15:30,,
Saturdays,14:45,,15:10,,15:15,,15:45,,
Saturdays,,,,15:00,15:25,,16:15,,
Saturdays,,,,14:00,14:25,,15:15,,
Sundays,17:15,,17:40,,17:45,,18:45,,
Sundays,,,,17:45,18:10,,19:15,,
Sundays,,,,16:45,17:10,,18:15,,
Sundays,15:15,,15:40,,15:45,,16:45,,
Sundays,,,,15:45,16:10,,17:20,,
Sundays,05:15,,05:40,,05:45,,06:45,,
Sundays,,,,05:45,06:10,,07:15,,
Sundays,06:15,,06:40,,06:45,,07:45,,
Sundays,,,,06:45,07:10,,08:15,,
Sundays,07:15,,07:40,,07:45,,08:45,,
Sundays,,,,07:45,08:10,,09:15,,
Sundays,08:15,,08:40,,08:45,,09:45,,
Sundays,,,,08:45,09:10,,10:15,,
Sundays,,,,09:45,10:10,,11:15,,
Sundays,16:15,,16:40,,16:45,,17:45,,
Sundays,10:15,,10:40,,10:45,,11:45,,
Sundays,11:15,,11:40,,11:45,,12:45,,
Sundays,,,,11:45,12:10,,13:15,,
Sundays,12:15,,12:40,,12:45,,13:45,,
Sundays,,,,12:45,13:10,,14:15,,
Sundays,13:15,,13:40,,13:45,,14:45,,
Sundays,,,,13:45,14:10,,15:15,,
Sundays,,13:50,,,14:20,,15:40,,
Sundays,14:15,,14:35,,14:40,,15:30,,
Sundays,,,,14:45,15:10,,15:45,,
Sundays,,,,10:45,11:10,,12:15,,
Sundays,09:15,,09:40,,09:45,,10:45,,
