day_type,TOWN CENTRE,STRANDFONTEIN VILL,LOTUS RIVER,PLUMSTEAD,B.M.D.FACTORY,DIEP RIVER
MondaysToFridays,05:35,,,,,07:05
MondaysToFridays,06:00,via,via,07:00,,
MondaysToFridays,06:05,via,,,,07:45
MondaysToFridays,06:30,via,,,,08:00
MondaysToFridays,07:20,07:40,via,08:40,08:10,08:20
