day_type,SEA POINT,MAIN RD,CAPE TOWN
MondaysToFridays,07:30,via,08:00
MondaysToFridays,07:40,via,08:10
MondaysToFridays,08:00,via,08:45
MondaysToFridays,15:15,via,15:45
Mondays_to_Thursdays,16:00,via,16:45
MondaysToFridays,16:30,via,17:00
Fridays,17:00,via,17:50
Mondays_to_Thursdays,17:30,via,17:45
Fridays,17:30,via,18:15
