day_type,KOEBERG STN,MAITLAND,BONTEHEUWEL,HEIDEVELD,HANOVER PARK,MANENBERG
Fridays,15:30,,via,via,,17:00
Fridays,,16:00,,,16:45,17:00
Fridays,16:45,,,via,,18:20
Mondays_to_Thursdays,17:00,,,via,,18:15
Mondays_to_Thursdays,,17:10,,,17:55,18:10
