day_type,MONWABISI,MAKHAZA,HARARE,MAKHAYA,ENKANINI,VILLAGE 3,SITE C,DRIFTSANDS,N2 FREEWAY,JAKES GERWEL DRV,MONTAGUE GARDENS,KILLARNEY,MARINE DRV,BLOUBERGSTRAND,BLAAUWBERG RIDGE,MELKBOS,BLAAUWBERG
MondaysToFridays,,,,,,06:00,06:15,,,,via,07:10,via,,08:10,,
MondaysToFridays,,,05:00,,,,05:25,via,via,via,via,06:25,via,,06:45,,
Mondays_to_Thursdays,,,04:50,via,,,,,,,via,06:00,via,,06:20,,
Mondays_to_Thursdays,,12:30,,,,12:50,via,,,,,14:10,via,,14:40,,
Mondays_to_Thursdays,,16:00,,,,16:25,16:30,,via,via,via,17:20,via,,18:00,,
Mondays_to_Thursdays,,,14:30,,,,via,,,via,via,15:50,via,,16:20,,
Mondays_to_Thursdays,,,14:45,,,,15:10,via,via,via,via,16:10,via,,17:40,,
Mondays_to_Thursdays,,13:30,,,,13:45,14:00,,,,via,via,via,,15:30,,
Mondays_to_Thursdays,,,05:10,,,,05:35,via,via,via,via,06:35,via,,08:45,,
Mondays_to_Thursdays,,,13:30,,,,13:50,,,,via,14:45,via,,15:40,,
Mondays_to_Thursdays,,,12:30,,,,via,,,via,via,13:50,via,,14:50,,
Mondays_to_Thursdays,,,15:00,,,,15:20,,,,via,16:15,via,,17:40,,
Mondays_to_Thursdays,,06:10,,,,,,,via,via,via,07:30,via,,08:20,,
Mondays_to_Thursdays,,05:20,,,,via,,,via,via,via,07:15,,,,,
Mondays_to_Thursdays,,,,,,06:10,06:25,,,,via,07:20,via,,08:00,,
Mondays_to_Thursdays,,,06:10,,,,06:35,,,,via,07:25,via,via,,09:00,
Mondays_to_Thursdays,,06:05,,,,06:25,via,via,via,via,via,08:15,,,,,
Mondays_to_Thursdays,,,,,,06:00,06:15,,via,via,via,07:20,,,,,
Mondays_to_Thursdays,,,06:00,,,,06:25,via,via,via,via,07:25,via,,08:00,,
Mondays_to_Thursdays,,,11:30,,,,via,,,via,via,12:50,via,,14:00,,
Mondays_to_Thursdays,,,05:40,,,,,,via,via,via,,via,,,08:20,
Mondays_to_Thursdays,,07:30,,,,07:50,,,via,via,via,08:50,via,,08:50,,
Mondays_to_Thursdays,,,07:45,,,,08:05,,,,via,09:00,via,,09:50,,
Mondays_to_Thursdays,,07:10,,,,07:25,07:40,,,,via,08:30,via,,09:20,,
Mondays_to_Thursdays,,07:45,,,,08:05,,,via,via,via,09:05,via,,09:40,,
Mondays_to_Thursdays,,,05:40,,,,06:05,via,via,via,via,07:05,via,,08:00,,
Mondays_to_Thursdays,,05:35,,,,,,,via,via,via,07:15,,,07:30,,
Mondays_to_Thursdays,,,08:30,,,,via,,,via,via,09:50,via,,10:25,,
Mondays_to_Thursdays,,08:30,,,,08:50,09:00,via,via,via,via,10:10,,,11:00,,
Mondays_to_Thursdays,,05:25,,,,,,,via,via,via,07:10,,,08:30,,
Mondays_to_Thursdays,,,05:40,,,,06:00,,via,via,via,07:40,,,08:35,,
PublicHolidays,,,08:30,,,,via,,,,,10:15,via,,10:20,,
PublicHolidays,,06:00,,,,06:25,06:30,,via,via,via,07:20,via,,08:00,,
PublicHolidays,,,08:00,,,,08:20,,,,via,09:15,via,,09:50,,
PublicHolidays,,,07:30,,,,07:45,,,,via,08:40,via,,09:00,,
PublicHolidays,,07:30,,,,07:45,08:00,,,,via,via,via,,09:00,,
PublicHolidays,,,07:15,,,07:00,07:35,,,,via,08:25,,,,,08:30
PublicHolidays,,06:35,,,,06:55,07:10,,,,via,07:50,via,,08:25,,
PublicHolidays,,,06:30,,,,06:45,,,,via,07:40,via,,08:00,,
PublicHolidays,,,06:00,,,,06:20,,,,via,07:20,via,,07:40,,
PublicHolidays,,13:50,,,,14:10,via,,,,,15:30,via,,15:40,,
PublicHolidays,,,09:30,,,,09:45,,,,via,10:40,via,,11:00,,
Saturdays,,,06:45,,,,07:00,,,,via,08:20,via,,08:40,,
Saturdays,,05:30,,,,05:50,06:00,via,via,via,via,06:55,,,07:00,,
Saturdays,05:45,,,,,,,,via,via,via,via,,,07:30,,
Saturdays,,05:45,,,,06:10,06:15,,via,via,via,07:05,via,,07:15,,
Saturdays,,,05:45,,,,06:05,,,,via,07:00,via,,07:35,,
Saturdays,,06:00,,,,06:20,06:35,,,,via,07:15,via,,07:50,,
Saturdays,,,06:00,,,,06:20,,,,via,07:15,via,,07:40,,
Saturdays,,06:00,,,,06:25,06:30,,,,via,07:20,via,07:50,,,
Saturdays,,06:15,,,,06:30,06:45,,,,via,07:35,via,,08:00,,
Saturdays,,06:30,,,,06:55,07:00,,,,via,07:50,via,08:10,,,
Saturdays,,,16:00,,,,via,,,,,via,,,14:30,,
Saturdays,,05:30,,,,05:55,06:00,,,,via,06:50,via,07:00,,,
Saturdays,,,15:00,,,,via,,,,,via,,,13:20,,
Saturdays,,06:45,,,,07:00,07:15,,,,,08:05,via,,08:25,,
Saturdays,,07:15,,,,07:35,07:45,,via,via,,09:05,via,,09:20,,
Saturdays,,,07:15,,,,07:30,,via,via,via,08:20,,,08:45,,
Saturdays,,,07:45,,,,via,,,,,09:30,via,,09:45,,
Saturdays,,08:00,,,,08:25,08:30,,via,via,via,09:20,via,,09:40,,
Saturdays,,,08:30,,,,08:50,,,,via,09:45,via,,10:00,,
Saturdays,,,12:10,,,,via,,,,,13:55,via,,14:35,,
Saturdays,,09:40,,,,10:00,via,,,,,11:20,via,,11:40,,
Saturdays,,,,,,10:30,via,,,,via,11:45,,,12:30,,
Saturdays,,12:00,,,,12:20,via,,,,,13:40,via,,14:25,,
Saturdays,,14:00,,,,14:20,via,,,,,15:40,via,,16:15,,
Sundays,,,19:20,,,,via,,,,,via,,,17:20,,
Sundays,,14:10,,,,14:30,via,,via,via,,15:50,via,,16:20,,
Sundays,,,,,,11:20,via,,,,via,12:35,,,13:00,,
Sundays,,,09:00,,,,via,,,via,via,10:30,,,10:45,,
Sundays,,,08:30,,,,08:45,,,,via,09:40,via,,10:30,,
Sundays,,08:30,,,,08:45,09:00,,,,via,09:40,via,,09:50,,
Sundays,,,08:00,,,,via,,,via,via,09:30,,,09:40,,
Sundays,,07:45,,,,08:00,08:15,,,,via,via,via,,08:55,,
Sundays,,07:15,,,,07:30,07:45,,,,via,via,via,,09:30,,
Sundays,,,06:30,,,,06:50,,,,via,07:45,via,,08:10,,
Sundays,,06:20,,,,06:40,via,,,,,08:00,via,,08:10,,
Sundays,,,06:15,,,,06:30,,,,via,07:25,via,,07:45,,
Sundays,,06:15,,,,06:30,06:45,,,,via,07:35,via,,07:50,,
Sundays,05:45,,,,,,,,via,via,via,via,,,07:30,,
Sundays,,,13:00,via,,,,,,,via,14:10,via,,14:30,,
Sundays,,07:20,,,,07:40,07:55,,,,via,08:35,via,,08:50,,
